CompanyID,AnalystCuratedVertical,Segment,Subsegment,ACVReportLastUpdated,RowID,LastUpdated
437632-57,Artificial Intelligence and Machine Learning,Vertical Applications,IT,Q4 2024,8a9372f52fb70ff7942480dcd0a1e6027d9bd7ec7d0c2d77ba4323da06abf211,12/09/2024
454958-56,AgTech,Animal Ag,Livestock & Land Animal Technology,Q4 2024,aca7cc68283c5a8607f40b97769815c4bec81ec482b029382ec1763c0ff9bf1a,12/09/2024
437264-20,Foodtech,eCommerce,Meal Kits,Q4 2024,60e0fecc88ea4b5608d26a8ce883e1134ffbe8838c3bddc9ef07c94f6388ec0f,12/11/2024
436527-01,Foodtech,eCommerce,Online Grocers,Q4 2024,e40d61950ab7e3d88e509997ac097a97b4dfdf8f0368aff0f915562fb11a7fe5,12/11/2024
507304-90,Gaming,Experience,Social & community,Q3 2024,a3e011cc88583654a0920c14861de6d5eb891617a30127cd752ba03d95fad7e6,12/09/2024
230449-15,Artificial Intelligence and Machine Learning,Horizontal Platforms,Natural Language Technology,Q4 2024,cf39efcbeb73e59b5c5e3aed42448a475c84993cd53d84f9e22916e23f947819,12/09/2024
491085-10,Foodtech,eCommerce,Online Grocers,Q4 2024,6fff63400884301ff080db77346375a454eae2fd612918dde13aa7df2942db9a,12/11/2024
436527-19,Foodtech,eCommerce,Restaurant Marketplaces,Q4 2024,2053c7b1cdfdf068903115736cbafd2d7820e3791e3afc1a5c9669bec54c4f1c,12/11/2024
483704-20,Enterprise SaaS,Enterprise Resource Planning (ERP),Manufacturing and Operations,,f2b8a8c2fd65398a7a38b457f7bb727619391a42d6524af158061033dcc521d6,12/09/2024
539001-01,Information  Security,Endpoint Security,"Endpoint Protection, Detection and Response",Q4 2024,93f51a592658d9e029626f04579c72b14d12b06ed31e69f4b70944459a6c5a0d,12/09/2024
606462-40,AgTech,Indoor Farming,Indoor Farming Systems,Q4 2024,d124857404a742aa96a1338537df563bfba58aa2094cd73a7f5ea8f58e5af802,12/09/2024
184374-64,AgTech,Precision Ag,Drones & Imagery Analytics,Q4 2024,4c9d48ed04bf43a1c6c688bed5244291fca80f4a66b0bf15882cd73554936609,12/09/2024
58297-87,Foodtech,eCommerce,Online Grocers,Q4 2024,05b124306a643b5f8de623b9ee64495598fb33e24b5adb0ce4bd02489c70dee1,12/11/2024
452739-07,Crypto,DeFi,Insurance,Q4 2023,6a61f27749e770aa05f21157a7232846f7b063eefd920694e7c681276dd203ac,12/09/2024
180686-80,AgTech,Precision Ag,Drones & Imagery Analytics,Q4 2024,2b5cef266f709c2c490df0d4324318304432ea3db413cd8c1b0c7ab2569d5956,12/09/2024
433937-53,Internet of Things,Connected Buildings,Smart Home,Q3 2023,d80b4482919f32ac7c92a7558547a202de7614d13633df50db3e05aedfdfa678,12/09/2024
433937-53,Retail FinTech,Credit & Banking,Credit & BNPL,Q2 2024,f3cd7fcb9ea70122a3a821ad479f4220c07cc77fdf6b6ddae220d0e18c659d31,12/09/2024
55350-01,Mobility,Ride Hailing,Ridehailing Platforms,Q4 2024,12ce96e935c263b765666b4a2bb99617bd392d5f49c60796b26ab24754d60673,12/14/2024
180687-07,Food & Beverage CPG,CPG Food - Shelf Stable,Vitamins & supplements,Q4 2024,f2ee4ee824c7133441f94cb6c09089710d2f9386eda0d24f62cf68d6ab363b3a,12/09/2024
180687-07,Foodtech,Bio-engineered Foods,Novel Ingredients,Q4 2024,96e8987e1c432a5253a3de0e746cafaa98c7d37474945ba1f31acd46eac4a337,12/11/2024
148246-57,AgTech,Ag Biotech,Biomaterials,Q4 2024,1dd3bcf4bc17beeb3413ef975037b378f927bcf472b1461a4867ae04a7553f0a,12/09/2024
148246-57,Foodtech,Food Production,Sustainable Packaging,Q4 2024,d63462b7b983379ece34819771e56a85c53ea3d28f0a0e00326e695118a28487,12/11/2024
86686-93,Foodtech,Restaurant & Retail Tech,Sales & Operations Tech,Q4 2024,a41ee2589cca979f431d35dd51f38917503428783b7ee8e09f7b07d9dbd6418b,12/11/2024
265474-27,Enterprise Fintech,Alternative Lending,Commercial lending,Q2 2024,46e272d19d65d89a5aebb4a5dc9acfd5eaff9fca4faf3a126347082064bd1368,12/09/2024
265474-27,Fintech,Alternative Lending,Commercial lending,Q3 2024,a5938d25ee5f69e287be2eb188103dd9fdf173f2e19e975bbd2cdd501a749fe1,12/09/2024
432833-50,Carbon and Emissions Tech,Industry,Green Mining,Q3 2024,bfed8c2d80e9da349e08c1caf8880e510b95b2ee3f2824dd64b4348cc3a40104,12/09/2024
432833-50,Enterprise SaaS,Enterprise Resource Planning (ERP),Enterprise Asset Management,,11481899e6ee966fb5fb67a5ab844b71597f2dfc8ba66b028c03e40361f15c0b,12/09/2024
132767-38,Information  Security,Identity & Access Management,Fraud Prevention,Q4 2024,bed6a258ae759d344577499fef513fe4cb94030c0dd7c677f88c48950b160ce8,12/09/2024
499927-24,Enterprise Fintech,Commercial finance,Non-dilutive finance,Q2 2024,c1c4bb2e511c624e47a33b60137ed1664050e8f913503ac1d60e10b97b1c458a,12/09/2024
499927-24,Fintech,Commercial Finance,Non-dilutive financing,Q3 2024,c89ea7a0a30d430a718eac05fd8c6333f04e55bf89b13e3866750b9a1c4d0921,12/09/2024
459006-40,Retail FinTech,Alternative Lending,Real estate lending,Q2 2024,7b07e03b8b56481588059b1f670538fb00ad41ce695fc369f5359f264c942ab3,12/09/2024
435782-44,E-Commerce,Purchase Medium,Payment,Q3 2024,93eff7af6ef1194f4418cc963bc2ecdfa4448e6adff2330b2113cefb03543a8b,12/09/2024
435782-44,Retail FinTech,Credit & Banking,Credit & BNPL,Q2 2024,bbf4d825f18ade9c33009e2eaeb6a249e6605fede2ecc072a7a33d5196a9d47b,12/09/2024
435045-25,Clean Energy,Grid Infrastructure,Analytics and Grid Management,Q3 2024,10e716145d6f6b81fc6b74f6fc8ccb7b3dac8a5fb7866a5aa2b3508936463c51,12/09/2024
491815-45,Foodtech,Food Production,Food Waste & Traceability,Q4 2024,acfc7014cabf55a562b10f429587b84375c5430022857b97b15fafb020d71b66,12/11/2024
491815-63,Artificial Intelligence and Machine Learning,Horizontal Platforms,Computer Vision,Q4 2024,4765556e89079e14e00bfc4ccd1d016c86e1a0209f605963a79e6f406474eabe,12/09/2024
279852-94,Artificial Intelligence and Machine Learning,Vertical Applications,Consumer,Q4 2024,b2ef009a0dcd4db4fd458fe614bbbbda72878811011d3dfa11f95f4f2d4c89b2,12/09/2024
517620-16,Artificial Intelligence and Machine Learning,Vertical Applications,Healthcare,Q4 2024,1859b343bf39a8f4a99d307c382f5b59eb4e7e3772f25203c16353a71f5e7233,12/09/2024
512829-01,Supply Chain Tech,Freight tech,Trucking logistics,Q3 2024,1992ca5b078f0cd14394ba896e43329bc373fa933c5f572a3996ec77ef2ed195,12/09/2024
454952-98,Artificial Intelligence and Machine Learning,Horizontal Platforms,AI Automation Platforms,Q4 2024,6b3b04021a576fca1262a39d3a9ac58b597e56d4a3fdc2f957375f56028c573e,12/09/2024
454952-98,Data Analytics,Analytics Platforms,Analytics & Business intelligence,Q3 2024,586122a649f5798bba787340166cb01a44df42ddce98f7ef6937d7b8bdc4978b,12/09/2024
229349-35,AgTech,Indoor Farming,Indoor Farming Components,Q4 2024,22467829e05b7c694c649e4a301f78a5360dc4b326337eabebace4e69e382a4b,12/09/2024
180320-32,Retail FinTech,Wealthtech,Personal financial management,Q2 2024,91e298d1b8085399eb78c956dc9de51828b5de3d9f374ef292cc6700bbc2fb59,12/09/2024
167049-64,Enterprise Fintech,CFO Stack,Payroll & earned wage access,Q2 2024,3773014975cc625644a18015a4075535f456f8c834771bca235c39c0a543ed9f,12/09/2024
167049-64,Fintech,CFO Stack,Payroll & Earned wage access,Q3 2024,f6be6b042369f530d1d0dac34039381cfe38a568741ffb3c46f16d6fdd4e1e14,12/09/2024
471924-46,Retail FinTech,Credit & Banking,Credit & BNPL,Q2 2024,3c246a54743706e9262f44545fa6cd27eb0bd8a6e51de072d66a82c759abd465,12/09/2024
232304-68,Crypto,Access,Onboarding and payments,Q4 2023,3c5b114d96c2ada80111c17e4ce26af39ebfb076fb4d8438f754eeac38519ca5,12/09/2024
232304-68,Information  Security,Application Security,Web3 Security,Q4 2024,b2bb74c7ad6f5405ee2a0309d2af9d302aec347a66ab2aaa092f1b4771c47800,12/09/2024
465288-49,Artificial Intelligence and Machine Learning,Vertical Applications,Financial Services,Q4 2024,eee823f9a51e936c70fa9ef11dedd03158b02eabf0e982d32257c2575c763ab3,12/09/2024
223088-41,Artificial Intelligence and Machine Learning,Horizontal Platforms,AI Automation Platforms,Q4 2024,99063897b7fbe35e5dbeb07c172b51f73b322b2e260798a52ccda6b10327b198,12/09/2024
155627-02,Retail FinTech,Wealthtech,Personal financial management,Q2 2024,efb54296c6ff70ac43ece0932f53117969a5452ec9147a857b6f6c39685dcbec,12/09/2024
221983-12,Retail FinTech,Credit & Banking,Credit & BNPL,Q2 2024,ed12dcdb6a8492634c4ffa7145fcb572a266424866c681e754673ebfd2920671,12/09/2024
231937-66,AgTech,Precision Ag,Robotics & Smart Field Equipment,Q4 2024,4cd9afe2de5a5b98179b9eae0ce8a62276446948d6032caf333ac04ece15218c,12/09/2024
489987-10,E-Commerce,Purchase Medium,Payment,Q3 2024,7c1f35695157dfaba616a568cfcc652318ca343941e56a0007486be4551b8209,12/09/2024
53513-56,Consumer Retail & Services,Consumer Discretionary,Travel and hospitality,Q3 2024,d00310121de28ba6cc7ba95feefce07cd4caef4aefc0a6c7b982d010a0ab9155,12/09/2024
493308-64,Retail FinTech,Wealthtech,Personal financial management,Q2 2024,0b00be072fd7ccf7d2914a29e2b5d5a79f9ea3fce132f9ce04357d4dcd279429,12/09/2024
92222-38,Enterprise SaaS,Enterprise Resource Planning (ERP),Manufacturing and Operations,,8e003a3868aa867816874a1b5eab3aa4ae2bc8dac8c33e27de638453ed8802b6,12/09/2024
98857-54,Information  Security,Application Security,Web Application Protection,Q4 2024,408bc5e26e122823f90276d4a7d62a1c072a6dc0bc73f6af3ed6fc9ac16572ee,12/09/2024
462710-62,Artificial Intelligence and Machine Learning,Vertical Applications,Healthcare,Q4 2024,ba70586ac9ea5d190bb6a1fb659f1ca62e065e534bc19a7d4a2db25782adea51,12/09/2024
462710-62,Enterprise SaaS,Enterprise Resource Planning (ERP),Manufacturing and Operations,,acc9082991621929ca8e26bb186699ed7f93adcfc570c8361f9f3c56ec79fa1d,12/09/2024
83373-85,Artificial Intelligence and Machine Learning,Vertical Applications,Financial Services,Q4 2024,a083a21f6e8d3a2ea81977adca9ce4f012bd6b4ce193e1cbbcbe267fc83bb6c2,12/09/2024
167424-58,AgTech,Ag Biotech,Plant Data & Analysis,Q4 2024,b5c6feca45c9b3e01767de293891d62927a9053bc72444a4bf6cb533641e8ff6,12/09/2024
154153-36,Foodtech,eCommerce,Online Grocers,Q4 2024,b4669e99aa5f18109ac425072d82f351bbdafd78b284c0f34945dd9a790c43cf,12/11/2024
154153-36,Mobility,Last-Mile Delivery,,Q4 2024,3c98f5d67d0d1fc4da4d72592bd2817ca72763c06f4f664d9670f031cae3bdb9,12/14/2024
154153-36,Supply Chain Tech,Last-mile delivery,Delivery services,Q3 2024,e6559f2803e38d20face2033e98c5bd7f8cbaace8cf9bb8d139d7f47e3b79e9d,12/09/2024
155628-01,AgTech,Ag Biotech,Plant Biotech,Q4 2024,731cbf378be4bf0bc615f3100eb6b9944c8e896131b7144cccaefc954334ee57,12/09/2024
496625-86,AgTech,Precision Ag,Field IoT,Q4 2024,f78072ecdc53540e466040e057b1abcb2f737319c9a63f45bc289081967042dd,12/09/2024
439487-47,Enterprise Fintech,Payments,Payment platforms & POS,Q2 2024,fd58efc70f8737151e528ee7b017f12fd659770db726a7875f46b3e14cad3ac9,12/09/2024
439487-47,Fintech,Payments,Payment platforms & POS,Q3 2024,e3c330966d18e0eb3b3e26e6ec173fe255ecfeb365d83cdbe2a53d361515972a,12/09/2024
98858-17,AgTech,Precision Ag,Farm Management Software,Q4 2024,ca8bd5c8164a5e6509119296fc6819c5cdb0db67e9a3397befee0a96301da12b,12/09/2024
170009-38,Food & Beverage CPG,CPG Beverages,Alcohol,Q4 2024,1c7e38e0c2f784d0d3956f0a4b60678c4c109ac4cc10710245f3e853e1a7a177,12/09/2024
519105-16,AgTech,Ag Biotech,Plant Biotech,Q4 2024,78d90a2956f8bbee8f8ba614d3c9a6f2b40851eb821747a877f1e7b4e6e16c2c,12/09/2024
439846-75,Digital Health,Care Management,Care and Benefits Navigation,,909c3dde8dccc4f541e3e77e68de9d93cdc9c9382e0500027ab36627c6b453eb,12/09/2024
518368-87,Artificial Intelligence and Machine Learning,Vertical Applications,Financial Services,Q4 2024,0d5a5187bebedba6459d8645fc6e8b3250676ff869c064e1ea28e37f9e28ef52,12/09/2024
328159-00,Fintech,Financial Services Infrastructure,Platforms & APIs,Q3 2024,bc4d0346b55a96e9e58e80d197a1dc8f052b064a00ca99c7f94f1410e338a811,12/09/2024
512838-91,Food & Beverage CPG,CPG Food - Shelf Stable,Confectionary products,Q4 2024,2c7ed07d6b6b2de74959167bb1c557f86787852a4c328269bb3d540841751fc1,12/09/2024
469337-23,Crypto,Web3,DePIN and hardware,Q4 2023,e949df997ed444fee73f38a5d38e65b1d00e1cdd4d76358a0f0c294957aad720,12/09/2024
469337-23,Internet of Things,IoT Networking,Network Protocols,Q3 2023,e47e8742eefabe840f4a98b27da00b78585da8c2fc7aa5069edf24af03f6de65,12/09/2024
436528-63,Artificial Intelligence and Machine Learning,Vertical Applications,Consumer,Q4 2024,38c63c8585ab3c170c6b09ce1a31c7dc8c1c789942fbf8d478137ab52439937f,12/09/2024
438004-81,Crypto,DeFi,"Trading, derivatives, and liquidity",Q4 2023,ac58ebad6a93ee4d151d8f90ab8219fa3b48d7d7948dcbe336da777e279a9e50,12/09/2024
307512-64,Artificial Intelligence and Machine Learning,Vertical Applications,Consumer,Q4 2024,1b8d5ee4abd163cbc29e89dc229593efe040eae01df8a60a666bdc24a81fc954,12/09/2024
469339-66,Foodtech,Bio-engineered Foods,Novel Ingredients,Q4 2024,fb674f067079c93e35be1c0da53f862bec1ca0d6d22133e462cd09ecc8b8916a,12/11/2024
443165-86,Artificial Intelligence and Machine Learning,Vertical Applications,Healthcare,Q4 2024,4dd6477d62fa2a2c485a5b5da0d7121544a671c56d5bd5fb16eac96f547f4d01,12/09/2024
498091-24,Artificial Intelligence and Machine Learning,Vertical Applications,IT,Q4 2024,dfb41a31eea6d27c1246947bea979dda2ce1c38cd20087178339464b2dcc117b,12/09/2024
498091-24,Fintech,Regtech,Crime surveillance & fraud detection,Q3 2024,e750f03a0f93053b4f2cb105aa9f0b9bca685ef12a16e75964fda85b559fd681,12/09/2024
465652-45,Insurtech,Health and Life,Life,Q4 2022,7e0cf6ccd9b69c67d0079f5c9deeeaf45edff3f2584f754f4986549222db2f6a,12/09/2024
470813-59,Artificial Intelligence and Machine Learning,Vertical Applications,Healthcare,Q4 2024,26f7d2ab9b89d38fbb2b65da997d633b5ef2ad1c89eb2e7b7b70d10dc07e6bda,12/09/2024
94437-55,Artificial Intelligence and Machine Learning,Vertical Applications,IT,Q4 2024,c04a5f47a11a6758cd37a2830d66be5a00ea01f31cd720701cb386c482d7a933,12/09/2024
94437-55,Data Analytics,Analytics Platforms,Analytics & Business intelligence,Q3 2024,f26e4ed0df326b50dd6ad748b894c83482a3bb8be87191b6936611b06c80ec7d,12/09/2024
94437-55,Enterprise SaaS,Customer Relationship Management (CRM),Cross-CRM,,351d5cbeaf2329b55262218a3abc66f5cadd4655645de203c38a5e3ff9fb800e,12/09/2024
263277-73,Foodtech,eCommerce,Restaurant Marketplaces,Q4 2024,d81c602f2a734fc1753fbc64612a8729ff17c6756454fd5d97c0048f5ba5b2af,12/11/2024
232312-42,Artificial Intelligence and Machine Learning,Vertical Applications,Financial Services,Q4 2024,9606b13dbae531ede3e519f63a0d470f5f448d3a7573c8e740452385299c29dc,12/09/2024
437268-97,Artificial Intelligence and Machine Learning,Autonomous Machines,Intelligent Robotics,Q4 2024,7ea520f81e4e27cbb0750854f30e1359f38edd6b37f1d1fdd16dff9ac848ee52,12/09/2024
437268-97,Internet of Things,IoT Hardware,Sensors & Sensor Systems,Q3 2023,a8f685caa86a6da2b3da5be217d03bfbb2cb9632605050f786e3c6a07debf938,12/09/2024
172592-74,AgTech,Precision Ag,Farm Management Software,Q4 2024,60b650ef1f575294455c87bf204bad88b3607fe39a4cbbc6aea2ab4b410106f7,12/09/2024
398930-32,AgTech,Ag Biotech,Animal Biotech,Q4 2024,7ade7885959446ceccc0f33642bfbdf246150e9fe35e3117654a04b074beede6,12/09/2024
398930-32,Food & Beverage CPG,CPG Food - Fresh,"Meat, poultry, fish & alternatives",Q4 2024,e3307c75c7b2058bb13912937976794eb2e0c600e013e2ded84f45018e71008f,12/09/2024
398930-32,Foodtech,Alt-proteins,Plant-based Proteins,Q4 2024,41f680c7b2ea56737beb23ab77f52324fb5833e93c2b1c700f044dbf99edafcf,12/11/2024
231939-64,Crypto,Access,"Exchanges, wallets, and crypto financial services",Q4 2023,69826741b530e5d80cbc5a48aefddcc54f0644abb2a5a40c355fefa78d30a0a9,12/09/2024
171486-10,Information  Security,Data Security,Database Monitoring & Loss Prevention,Q4 2024,1affacc8d5a3672d221987495f680e98c4ff04a6cf9b862748b76482bd2b0b2f,12/09/2024
171486-10,Internet of Things,Connected Buildings,Smart Home,Q3 2023,b217a2fff5f96e0d3ac3a12f82c2d0e191f1a2eda193b0899b832e3b1d30d2ed,12/09/2024
233045-74,Foodtech,Food Production,Sustainable Packaging,Q4 2024,22cfc9ac104734b0805b77df1bfb441a152fea02c2aa544952611a432208ccfb,12/11/2024
168904-81,AgTech,Indoor Farming,Indoor Farming Systems,Q4 2024,68b57a693dda60a8c73ab8333026de8ab680f199be7bf67eae56780d2fc8a43d,12/09/2024
172223-11,Foodtech,eCommerce,Online Grocers,Q4 2024,18e5f5889670589eaaa4ed2be75c5b2628c8fd8764add807fd934c2d4b23285a,12/11/2024
172223-11,Supply Chain Tech,Warehousing tech,Sustainable packaging,Q3 2024,3259b69af37f35b5c5ae65edb29c1ec5c7d86427fc15ccdfb3896318250fb334,12/09/2024
518368-96,Enterprise SaaS,Enterprise Resource Planning (ERP),Manufacturing and Operations,,fe7e906b8936c7404cde758f053f74cab9948f6a10a264221d3ca84c1f9b3899,12/09/2024
513208-27,Enterprise Fintech,CFO Stack,Payroll & earned wage access,Q2 2024,f52b3387cf14bfcf4669bba1bfe364180bafe8bf3e3ed173d4e4cdfdb1ff4334,12/09/2024
513208-27,Fintech,CFO Stack,Payroll & Earned wage access,Q3 2024,7421651b46c659d0849847f4f619b06099da8f5754948a296464bc7e9b3c932b,12/09/2024
277283-62,Enterprise SaaS,Customer Relationship Management (CRM),Marketing,,ec7ca4b482a50424ca7e3a0e65db046ecaef0d0c4cd808b47d94592e8366ff48,12/09/2024
93703-42,Artificial Intelligence and Machine Learning,Vertical Applications,Financial Services,Q4 2024,a89afb698d1652c3f1b101d268690b82707d57a79c27417d5253a4e2d36d3776,12/09/2024
93703-42,Enterprise Fintech,Alternative Lending,Commercial lending,Q2 2024,6b8b0737dd9ddced3c87e1fb0481ad4bd1bc941b55b96aa3f74c26ba4457e336,12/09/2024
93703-42,Fintech,Alternative Lending,Commercial lending,Q3 2024,bb47e7a6ebb3f3c675193e5fd9a9804d716f1b0ad3b744cfb4f528ae7d86176f,12/09/2024
460125-73,Retail FinTech,Wealthtech,Investment tools & platforms,Q2 2024,aa19ad68dcec02ac2bacc32cecd1ea0b539d6fef14978c7b529df84509471ceb,12/09/2024
118032-94,Mobility,Fleet Management & Connectivity,Fleet Management,Q4 2024,748f3708a63492307e993a1ed91a469297bc0a49fbb233863a48e576f34a894a,12/14/2024
509522-41,Enterprise Fintech,Payments,Payment platforms & POS,Q2 2024,3c60115b16cc2dd3f28f6fdba6ac787e61324c773377e67f1e3159de60f7c42e,12/09/2024
509522-41,Fintech,Payments,Payment platforms & POS,Q3 2024,2cac25fffb6dbe57ac6df30612337607c99a6726d26f8f2e4a7fc9d06aa249fe,12/09/2024
533499-76,Artificial Intelligence and Machine Learning,Vertical Applications,Financial Services,Q4 2024,97520a029727775ab4d2cf50e611c1fa5779eb7b1f6a138c4334670c1528efee,12/09/2024
533499-76,Enterprise Fintech,Payments,Payment platforms & POS,Q2 2024,0be6da37e8ea366b5767f09775f20129406f49a5243db653f98b7e2a60754737,12/09/2024
533499-76,Fintech,Payments,Payment platforms & POS,Q3 2024,af0139f2903e4ee2e6c4a9a3fd733fdf64b1ca0d9eb67a477847e6f89b9935b3,12/09/2024
59052-97,Consumer Retail & Services,Consumer Staples,Pet,Q3 2024,6e370b581ee43a1a30b4308f51badb2388b471a66a630af570e15a1d587f700f,12/09/2024
268812-01,Foodtech,Discovery & Review,Food & Beverage Discovery,Q4 2024,1bb1f5e6ff677559ca524a3713d43a7320ad1d22d71807eb63e85dc5863c9bdc,12/11/2024
439126-93,AgTech,Precision Ag,Robotics & Smart Field Equipment,Q4 2024,eaecd981cf748048440d7c3d3edfbe603653398f3fb6255276983d3407d9f356,12/09/2024
439126-93,Internet of Things,Industrial IoT,Connected Agriculture,Q3 2023,6bc7e0b3e1adf7cd1839cb67d5960720ea8031f4df5da4fdbcb9d03117df4c03,12/09/2024
521703-82,Enterprise Fintech,CFO Stack,"Accounting, tax, & compliance",Q2 2024,abf50a28248b2e376fe682b574b4bbffc8d68579c3e4ea2f72aed8e9bc6b4f5a,12/09/2024
521703-82,Fintech,CFO Stack,"Accounting, tax, & compliance",Q3 2024,1fae87f064ddb2ec9b0499fb483717226a034e5a53c09c6749a4f06205896b73,12/09/2024
