CompanyID,EmployeeCount,Date,RowID,LastUpdated
95849-92,30,08/03/2023,2aa6d9c58ccbf2ac0091b6b056c3351329e8bd1d59a4e891ab104d69e21eb907,12/09/2024
95849-92,44,01/02/2024,1d71bbcd49ac129d6999feb2d1204faca1e7f5d0943c987568b337c1725255fc,12/09/2024
95849-92,100,12/03/2024,933c71d2da4f27503c31aa7680ce5cad08814074bfd0b3cfd2119cad62112b51,12/09/2024
96019-57,40,08/31/2015,6082cd485902bc1c1afe55049ba2558e2097e6fef89deed8c1e62f2dbdd99076,12/09/2024
96161-50,2,03/20/2023,60000f5f39cccca9865779c3a7518935763a0acb3a76c20f7cc5b81c0e5455e5,12/09/2024
96161-50,2,03/27/2024,2d11d5ce3774f84ac5a7e5c8b1e4ad90c8242fca1ddca87338ddae7e2037529c,12/09/2024
96214-87,37,02/19/2021,ec154b191491484caa8660336aacaf209ddd6820b6769c234ee1e862179446cb,12/09/2024
96214-87,29,03/14/2022,6f61802d483da4f8b6534835382f9a0761c8e0ee63edc90a8ae16285839e4f9f,12/09/2024
96080-59,6,04/06/2017,8de772fa0e2ced3730ec37af6c639501af62593527bd58b921190aed2116082f,12/09/2024
95892-40,19,05/27/2022,7bce2a1dcfc3aa9d781d31b573ae8541528caee8beb54daa6ac8750a32becbc8,12/09/2024
95892-40,17,01/20/2023,14544627ece05f8f7be48a2b37e460752d5bc8de9ced12bb9c12e9f2136a72cd,12/09/2024
95892-40,15,08/04/2023,23410397efa284680d769bee80489fd729c8cff95dff8fb16bc99a16b356156a,12/09/2024
96122-17,11,11/19/2015,9f86653319208410a2dab9741cb33eadf72bdbb890702f7a4aac79df98022cf1,12/09/2024
96122-17,10,03/12/2024,658f85ae66486b86db49c1b30b227a71482a0df550579c6e9c64a85467177f5a,12/09/2024
97466-05,25,05/10/2020,1be7b71e076be58fe1cc05dc158e81fac7d109ec4df7b14f4cec996c0222e6ee,12/09/2024
96572-44,50,10/27/2020,503b98058f4f81354167b32c74ded760a6f20f2918928d64a84e88f1de46e999,12/09/2024
96572-44,52,01/25/2022,60d844fe2b3c43b5445dd0eb03f26175ffd0afbc3cb77aa4d2b2952ae7cb9300,12/09/2024
96824-26,23,06/03/2015,19146cd1a7a0f18e52eb8b3de687f9f59bff663e29c097f032288e81dc610eda,12/09/2024
96865-39,3,06/19/2015,2b63b85291b8a89ed64c631dd502d9dd8419cb4ee29027d6b082360fb0cdde42,12/09/2024
96129-37,3,05/26/2015,eab2c322ff27942920f38b4b017306813c6f48794ca48f5385e644bf0be447d1,12/09/2024
96387-94,13,05/26/2015,7d5262b9c41e726e6bc077d78a6383ffe138c32cb6a3d4e6a442c41a5260b516,12/09/2024
96387-94,22,11/02/2015,74042c2b5e7cee3ead4221464babf76ba1129a9961e2cfc2c7c3c2544e4f898f,12/09/2024
96387-94,4,09/15/2020,95576216df7262b7432d1023e8a1021846073b52915a01a8ff0bbcc8d8cfee34,12/09/2024
96214-87,22,09/20/2022,43bd29ade9bcfdf0786380b8aed343c16e0a22e70719dd7627505e6935fb6411,12/09/2024
96214-87,21,05/16/2023,215c09900f153fa860de39f78b00a09b694897d60b51941012f69b048db429fe,12/09/2024
96496-75,6,06/22/2022,0a8733977da96dc1c9370e29584bc564a5a3fa9cb8184d9c0f38df60036cb8a0,12/09/2024
96496-75,8,07/18/2023,e27e84a1e97187676a8b7267b3640342a2bb3b5710195e2f39ce92e60f600618,12/09/2024
97466-05,25,06/09/2021,d03bc788cba609dcbd92adca003add048a39b1c2685798145e7e1aeaca58f286,12/09/2024
95867-02,20,07/14/2017,0c8e977c827c605fc46a743947f694365240e9cf9506b46991972f2c0909f27e,12/09/2024
95867-02,56,11/11/2020,9e8ffcfceeb1db46e731d33b666039659d9d92a3dec7648d42b53db2ecbf7c39,12/09/2024
95867-02,54,06/18/2021,ad9f8ccd6f62c871cffce06f11d9ea4e40011a2a0451355a06c799b82b976a7c,12/09/2024
95867-02,58,01/10/2022,bbdefb367079511fbd99212eee9606ee57f57988549bdbf015015779db4443b0,12/09/2024
95867-02,61,07/19/2022,49d9a1d4b391edae587275a7cb9fff7155ae5b04ef1016dbc4bbfbd48ff84e29,12/09/2024
95867-02,67,03/21/2023,eb63fe1541ff18b2ee999cc42a3db869c1b18da8241a2ec78f974fffc7b9eb8f,12/09/2024
95867-02,96,09/30/2023,3ba7cdd2e1a330ce1cb33d1b9400d9c4040abc59564fa1c0f0c5185fcc7162e9,12/09/2024
97411-60,201,01/19/2015,b134f132760c749a1db91bca0177e9b59ade1c231650164bad6c519eec34bd87,12/09/2024
97411-60,127,02/27/2023,0fbe0cd4b2d09b13dc7e5bb33fc6920561e2a453ff29e5797c1b24ce0f560003,12/09/2024
97465-96,5,01/01/2012,06f35346411cfe160a7814e106a27940287534dbd04d18461d707cafcc5437b4,12/09/2024
97465-96,22,01/01/2013,7eedf8832605dc26f59d667b6266b63efa8defb8a3201b1ede476b4b60bb4d30,12/09/2024
97465-96,30,01/01/2014,8f56a97366f495a320f454a89bf59be18839211bc655bad21a3489e7e66b7742,12/09/2024
97465-96,45,01/01/2015,79b236b6abf0fab6cc222cff690a84db89668712d574ce7e05ee2e554fee168a,12/09/2024
97465-96,88,12/31/2015,c41175a206e337e6ca834e6753445d3389b41a9c8c3485a123967afba83825ca,12/09/2024
97465-96,120,01/01/2016,87af78a0a571d3d1bd5eb95632b4a15d554cb6a7062f14aa9f2a8653a5bd575f,12/09/2024
97465-96,152,12/31/2017,2acc82dbdc3c9d7bdd805df14c4deed6106a70ab8ed0e83b725c06b0450b3d52,12/09/2024
97465-96,172,01/01/2018,e88020b6784a8ef67f123af621affbddc2c8f46b7de87ba41f1dd70ec4ffeb7d,12/09/2024
97465-96,200,04/18/2018,36c58f5a2cbb7140fef46570cf6d19bf74aef9ad758dffc1f519ec971b77afb9,12/09/2024
97465-96,220,08/20/2018,9001fedce93623a19a8c9d3673cd9348eae370117581fa7c09d4e9663174c426,12/09/2024
97465-96,285,06/30/2020,be3c7f2b39a5bab594f6d03c20c17efe6dd4196bb8aad7dd5e9dae58d2764ab7,12/09/2024
97465-96,500,10/05/2020,5071f74c94f46ae76f1124fd9d1daca1315a8c51039f9b3a9938a005ec6e51b1,12/09/2024
97465-96,77,07/29/2021,53e07a230fa9636eed558d9d191ab6c78a37ddcd39bd6241c11248edb2ab4d8a,12/09/2024
97465-96,92,02/21/2022,38c27928a1bedb0601f559c76d536f4147dc7305b00e93ac58e4231b2594b856,12/09/2024
97465-96,100,06/09/2022,5ebd52c809d747a6c4abf99654c2b04316932f7c19978a8576d5156e52824a08,12/09/2024
97466-41,9,10/29/2014,f886b57ef3fcb87961ebad730f766cf17c36f51b3ca1a0f4c52b8e51b354a9d5,12/09/2024
97466-41,13,04/18/2016,f5e21f381cc2a1539f8b7b641a187f0a4ee9fba9fa307fbf2470817fd8ed73da,12/09/2024
95878-54,11,01/19/2015,dacb2bdc34da214d84fe5b8dad3b1103d71a5a2b86e85b410ad9fd310850abda,12/09/2024
96445-54,4,12/03/2015,1390ca88bed64494bbe856d0c7d9eb4aa5a8b26d494cff62bc47090f05d87cb9,12/09/2024
96445-54,2,12/07/2022,cc4f5afbfe66adae6cfe33db6cac868c338ba39a2091c36be273de48be8f885c,12/09/2024
96156-19,13,03/09/2012,cf92e8769aa3226e27a0bbb07fed3657cbcf69cb1c7df2d671cdfbabcd7f18f8,12/09/2024
95878-99,12,08/28/2015,65ce7b35655ac2e238a79f50a18dd20cb8743d3eaa337569bd6252d7089418af,12/09/2024
95878-99,50,10/06/2020,0ee45104e88ba75cb7503a5f3f008bae6e24090acb36c037b1e46c24d14813d6,12/09/2024
95878-99,68,05/07/2021,ae8aa09a6ab4d4f7d5efc484d04b770c857819ab2d81af8053f6a7ed178fe3ae,12/09/2024
95878-99,71,11/15/2021,99277cfea069bf762d90c9973d99f21f404b0aec6fe4c1d13ba57d3071b9f137,12/09/2024
95878-99,72,05/19/2022,95c2228ab5e75543a2f5eee847efeb875d5eadc0459fdbdda053f7653762c73b,12/09/2024
95878-99,92,05/31/2024,136910dc8fae331b8e3dd9e56e5cc2e34e3ba102a98320f68f77e9acf4b455a5,12/09/2024
97466-32,11,10/29/2014,7848e46e9196aaac49348d9e338e19d165a7d6a14289505659f1d8bc5077fc3f,12/09/2024
97466-32,15,03/16/2020,3e9c25dd3cf2019bf9d69f72514126fbe300b7c8c490a6545e78a43028b54460,12/09/2024
97466-32,19,09/18/2020,95c59155b671c5cf381b86e0cb8a5d6ddd812ec51a8a21ea8b707899e3be1036,12/09/2024
97466-32,18,05/03/2021,01d18ab8b8ff618f5606e81ab5321f249fc82fd9fe3746137203b1d7f0a56a79,12/09/2024
97466-32,17,11/30/2021,79fa0f6ec18d0100f86c4dd37a5b1faee02c11450b77bc8e90d3a08828bf6df5,12/09/2024
96866-38,6,12/15/2014,412dd0aaf1967568d05a7cfbf26322b122dbb03fef004e93819363ca49122c8d,12/09/2024
96592-69,11,07/17/2015,61af6ccb972aaac8dbba91d26f905e44c39ca358654dd269a99b01149e694b17,12/09/2024
12134-44,150,01/01/2006,ce15cf0cf657111fec5d933c97a4545c4f25c2e3734e19696d8573742f72472a,12/09/2024
12134-44,150,05/29/2006,6caa5c8f172aa91829fcdf94ab40a3e99bd5fd9f9bd2df89e7693c37ff5cd1e4,12/09/2024
12134-44,370,09/01/2009,4ed0dbee0db04ebf39ab49210378eb942e036acd5cbfac283abc965d0b888711,12/09/2024
12134-44,370,09/28/2009,14bad940378f4f7c379f9829b9db545456a7bfb55199ca79d5d6b1f58d967d3d,12/09/2024
97190-74,10,09/28/2020,bf212ac9d5251066773c1b1b1511b153b6e604ee7eb28cc928bb20739770eee4,12/09/2024
97190-74,11,05/12/2021,9fc15f6fac69fd97989916afba2c9940832403d1d2329eba327f09bad07890c4,12/09/2024
97190-74,12,11/16/2021,62d5286c8ea3c790553b266d0fdda5779b118c4837ed79f3af775390a27bfcd6,12/09/2024
97190-74,11,01/27/2023,b9132c92f85a5681d657c8adbe0cd8db764fd23cdecfd511d70ad3b0d926261f,12/09/2024
97215-49,70,08/06/2015,60149b0175dc9b6770f2969f889157efd42b43a211b54dbbda59f0353f0da24e,12/09/2024
97215-49,128,09/24/2020,e1c14a6d9e43b7a5b5c90a2a67231521c27d86ab56ed365611b205ca430fe2ef,12/09/2024
97215-49,154,05/26/2021,dde7f9e48f444e42e4e5034319a58a0bd004950c7795196806865bd3a53ce9f4,12/09/2024
97215-49,191,12/20/2021,d33ff3ea02454696f387489587802a5fe201e65e8156d6c3172fea791a015a39,12/09/2024
97215-49,251,06/22/2022,12ce0fa61b57894e4b5c0b34004861106d407683e609e6311eb3b9df9b5aacbf,12/09/2024
97190-38,10,09/09/2014,4e1d7467f29c23e6d12b0740769ac4a7b85defa686878f1db05284b973594d83,12/09/2024
97190-38,11,04/08/2016,f40c979435be3e21178b27fbe8dc853c4cddbecbc5fcd48e41f26e050577f3ce,12/09/2024
97290-37,2,07/20/2022,17e135e4c62c998ee44f7cba636cba7d093b65e47c69d054c1392772128f56bf,12/09/2024
97290-01,11,09/11/2014,274d5dcfe90d565105ab7e6d3202485f4133910d5f56e44b069ae2930eadba04,12/09/2024
97290-01,3,10/07/2020,1c2365c1f095fbbbfa303e754ee39b565a4eaaa2de7ffc0f9fb5ebec49f16378,12/09/2024
12817-09,775,12/31/2005,3a985dd320e7607555badce1de2ff2805a19a6c23dd071e8a07467334ae27bd3,12/09/2024
12817-09,775,12/31/2006,fd6ced6b746c4d694d79114413ff80608ea456869d014e87b97a8ec1c207cc01,12/09/2024
12817-09,932,12/31/2007,542916e5d3fdab5b910d2ad2d3558c3733a0e7cc181c82894bca4a72fd10402e,12/09/2024
12817-09,1295,12/31/2008,c3134f2b88a5469035b835d577f8f26c0c1350a0aec22261f157ed78e3b906d9,12/09/2024
12817-09,1466,12/31/2009,e19f515896047b716c244b9f4e63f4c6be1301a2063a953b6a85ad251dc1ad10,12/09/2024
12817-09,1567,12/31/2010,c835dcf6e497ef3806ca203a6ccb33c0a95d6e3684f56176d54621bedd340e67,12/09/2024
12817-09,1633,12/31/2011,1b85c00ff5079f744bd01710933643c55be8ab978bcc79709c2d7ceb9c97b8da,12/09/2024
12817-09,1892,12/31/2012,4e052cd358af40b4ed1ffdc87f4045783b79657761e4a004ae66a46f8e01487c,12/09/2024
12817-09,2171,12/31/2013,f2a418dc1d16ab25fd90d2c04480cb4fd1cb36a682e80b589004ad799eb37b1b,12/09/2024
12817-09,2599,12/31/2014,0cf30b3c61ed0188e5ce2628dbf9a080a5fdf1d329907b472ce69faf2babf886,12/09/2024
12817-09,3298,12/31/2015,4abd5df4fda08761027722a6b196db7d1e3a9d18d78780492f25826080c2a02f,12/09/2024
12817-09,4146,12/31/2016,66fb2621329d0a7b1a7733d9b6efe24bcab13f71752bcc1dce77702e5000f14c,12/09/2024
12817-09,5582,12/31/2017,54306a9d8dd6a1ba4f68d5818e9869a6d49a48d9851f53d27e747d71f45f8708,12/09/2024
12817-09,7239,12/31/2018,adcf6c311d5618477f265b37cf8175576fe38b8ba5d2b48c093264469340ae3f,12/09/2024
12817-09,9703,12/31/2019,7814d10df50aa1f04013f52bd2ff9431b20abc7a53f1036af4cf615c419c651d,12/09/2024
12817-09,15546,12/31/2020,e9391a901c0608ec8e46f20e134758ce666b5ad624b69b1918325ed908ebef22,12/09/2024
12817-09,29957,12/31/2021,d06b4c986cd52b0c0ddd5f533b52a333089978a626790318645d88f46588de96,12/09/2024
12817-09,40548,12/31/2022,06a0b5a2398e8e2b83e74ae2439af628949b26eeddfd54838cd7b926221760d8,12/09/2024
12817-09,58313,12/31/2023,be61ede643b23d57de2d40946d5c9f1688ad7fbd285946b5da9d5954ae1f4f88,12/09/2024
13411-00,324,01/01/2005,06176df5f9a014fbd2501a0d6f545b0b2423ab6070e16555fadfea44b6a995ec,12/09/2024
13411-00,275,07/14/2023,3acac6b5ec409807fb32e7f8337f2250995f914693c59bd434419804d3bb29ba,12/09/2024
14184-46,138215,01/01/2011,db8d58ab51ea48456f5e222bfa2ef03ae448bf60ad7c0720b8a21c33c51a5d76,12/09/2024
14184-46,128000,12/31/2018,5cc31ba87c32a9455b72785fc6b68351abf81ba6c6e91ca765de2152985ffc21,12/09/2024
14184-46,128000,10/28/2019,56eb29c4bdcb7c014346f38a210dfc4916f2ebc3c3dda41313c9ae4b8a09f332,12/09/2024
14184-46,125000,12/31/2019,6f0dd9f94a5a05997b68562fc623e33bb6db905f57a3b3dc41c32cfe987e2538,12/09/2024
14184-46,125000,07/21/2020,7f673cbb4e36f2500e35a5e4c6b23abb532cf178e386d78305e4aaa61cf21513,12/09/2024
14184-46,150600,08/31/2020,d70ffda86ae5958ad572f9c80aabeef0da4f4e80764663a822774e5035878ed0,12/09/2024
14184-46,125000,02/18/2021,99c87b8cfd10a01c6709b94b7e4e6306096dadafaefa4f2cfd80fc4e761b249f,12/09/2024
14184-46,122646,12/31/2021,b78afa11fb0011e5220254386ba3c72c38327111586edaafe4024b8680291171,12/09/2024
14184-46,120000,08/08/2023,214697a16fed24b9862e71c9a68ef611761926e6cad4ab67a23457fa66b364a7,12/09/2024
14184-46,126000,01/09/2024,66cc5704a4fd6347932fd0d60e4ea94df3786e748e29820be148b28a59a0fb16,12/09/2024
42921-01,6089,09/15/2020,81bb2d845449ca1dec506435d656ec6c6b8d3539fa730f8f79fdbbd5b32323b2,12/09/2024
52319-80,12500,12/31/2011,7591350290abb52fbd36a1a0199e411f9186c0910dbc73d3194027d660d8931d,12/09/2024
52319-80,12500,12/31/2012,5695a54166ca444fde6c6002e4b86f9009df5ac524068ee868ea28dc9c50862b,12/09/2024
52319-80,22000,12/31/2014,deb7cda1bd484f2436adf60602fdbbe9440c288df2beef3bff985d18ffcfa5b6,12/09/2024
52319-80,16573,03/31/2019,96155a65f165b36c3544e5730aafc20c0833129d310762510aff3497ba689190,12/09/2024
52319-80,16521,06/30/2019,59b872c7a5c51fd58ef6846c5331c5569ed568f9ad81f50791234d76870b65ac,12/09/2024
52319-80,16605,09/30/2019,27901c663fa0312680a53e94b6f6bf57a510de537a9956e0136a445c2730a4fb,12/09/2024
52319-80,16119,12/31/2019,cfbc7d30fd169a9372802f8a25a4c47aee1f20d99e8ce0e1feac35678464e2c0,12/09/2024
52319-80,15339,03/31/2020,b9d5baa0e30f6d96affad8c192bbd0089c4902cc0aac8efdbf1e206b7c7ebf6d,12/09/2024
52319-80,14123,06/30/2020,4b39c95ae4e595c2570876d59b687e8eebd3eed1c60ffa3ec2492b7569c8303a,12/09/2024
52319-80,13178,09/30/2020,0d8d58c608d741e99bac0badb8e2c2af9233f1092faf25a23ea436a962135dd2,12/09/2024
52319-80,13252,12/31/2020,1ec604fd6d9adc53889e2e5628e677659f74b7834f9201019b2ba37403ae0a4c,12/09/2024
52319-80,13387,03/31/2021,43b237d7f8af36bb61820c6c2a8446a71dbb3191d13dee6ea6dcf9bc0168f04e,12/09/2024
52319-80,13563,06/30/2021,4b92a0fa3b271b467005fd266b281640dfa955a3c1b0b0b4cd7eb415d6cbc507,12/09/2024
52319-80,13467,09/30/2021,c8b8d2ca966aaf1715e35f6dc50714efa9335626cee43d82d5a60aded98c2d98,12/09/2024
52319-80,13486,12/31/2021,69e63d88bccd7716cb848ecbcff65fa62ad6a23f6ead02b050609c858880e5d8,12/09/2024
52319-80,13314,03/31/2022,7905ac96c64c860f12528ccc8086ee2495f905805ca940524978c43a17a89a76,12/09/2024
52319-80,13486,06/30/2022,315375a6460279d83a3fed1d4f01026ee1f161ffeba10894a3dbb4bbc76149da,12/09/2024
52319-80,13428,09/30/2022,f8f43d17c210350be8d15ccfbfae9ee1e309073397f95aa774b4d14df2ee5c9e,12/09/2024
52319-80,13855,12/31/2022,6222288416147f6c3fec1e7dfa2a4612c8905e6e233b4839767d2da0066032b1,12/09/2024
52319-80,14362,03/31/2023,1a3c6caeea063de18a3839197c8940e8158c220824929d7eb8e432997787a8e2,12/09/2024
52319-80,14545,06/30/2023,82edb451cf36893f75a9e5c37ee2b74a687fa9311d7012e7052cf2ebdcbe51ac,12/09/2024
52319-80,14608,09/30/2023,7117e164d898ec581626a23a79cf1680370ff8048edd8fdb0029a5ac4444ea50,12/09/2024
52319-80,14823,12/31/2023,5e623bd3ccfd04d003aa312572410cb3b658d4cd092d343959c00c9251adf6d5,12/09/2024
52319-80,15255,03/31/2024,f5260b7a2f4641155c2be2e6c290f87c3d6997860408477eee53a89f785bf3db,12/09/2024
52319-80,15253,06/30/2024,6a10415604e62ef48a44daee228f18277c8e7e6a02f705f64327457ad186cc5b,12/09/2024
52319-80,15179,09/30/2024,e1324f6ab79af06975e21a007e8516b5cdb94e88edb2804d60cdc99e1625a238,12/09/2024
53947-54,210,11/09/2020,ce85e2c10a965d22d6e789ab02ae8ef8c8e2e9b1403bf9e929b4d69aa0f0569c,12/09/2024
53947-54,221,06/18/2021,46ec16f4d5751bb060c8a8332f55b0efbb32e3b3f3240099221910ff384d3487,12/09/2024
53947-54,208,01/11/2022,57ac562aa352dd6e8bf2a1f5bf926ea240d20703ccc61e760613c9ca0c28a606,12/09/2024
53947-54,230,07/20/2022,906bc3207dcabe92950052af0d107f56a9123379a0a285ce48ee19ab3c92c049,12/09/2024
53947-54,230,03/23/2023,b6ab0d1b210d0190f1eeeb9809e4dc652bf1370bbf3f6210cdada688dfc91965,12/09/2024
54009-91,8,09/02/2020,f95eea2d347ddd1fa8b07235e2d41671a1a1ddff5e5215cab20b37df4c0d5672,12/09/2024
54009-91,5,11/19/2021,9b2866d1b3137bf6c296156f2d0d25e3e2e9af678c2819d4540f57a138b47c9f,12/09/2024
54076-69,215,10/31/2014,fbc2a566aafc8b2d7cbc7f85395e1f9e27fc31ba6922c31c1e3f158792fe7626,12/09/2024
54076-69,388,11/02/2015,61ece0289ed32974b227dfebd2558850615afeeca6db7a027f92d305a01fad84,12/09/2024
54225-10,19,05/06/2014,68c344fef906a9239f22ad1546a5d5cee62f3e29b124d48bf16806b2a9f05a4c,12/09/2024
54225-10,27,03/18/2021,48b1e5f8e51d16738bdd16d6d48502a2faed9fbfdb0c6c3f0879f49c190a9630,12/09/2024
54225-10,25,10/11/2021,ff6fbf308ca99c5eac3c02ff62fee6223154211b57781c98b1e917d068ee3412,12/09/2024
54768-88,332,08/06/2015,fd0d962c022d777c84ea5b4861487bbf1f70aee161639be722b3a60f0a1a20ee,12/09/2024
54748-36,141,05/30/2014,807af2bc2cc5b7d0928e2a92c1f9e0331c5230c8173f4bb59139469ba870926b,12/09/2024
54748-36,68,02/05/2021,955a2b384d838e973bc2e257ddcabe5a385ca18a2ca7eb1c8b54777ededdac93,12/09/2024
54749-17,70,05/06/2014,ed9336f89416d6140ddb405cbf6afe74f597bfbad830bdb75dc5933be1882b81,12/09/2024
54749-17,73,03/09/2015,371519c256cb1f9574a39530551afbaa5575bc9747f14dcd2ddf0d285531012f,12/09/2024
54749-17,78,10/28/2015,717650a7b2e542082244616750ec86b8866f1cb8d2bdd840b95610feec163f34,12/09/2024
54757-18,74,12/22/2020,7b2fd5cff8e5ba028f8b5ea7ec4f6c196bfdbe018e54e4bcbed459d0e02afcec,12/09/2024
54757-18,73,08/12/2021,008141821f28d5ab0bbb18451b3ccb3d43eb8046c5a443889a862d1e906bf355,12/09/2024
53506-54,172,09/15/2014,2f136019dd7754f9ff4d1f8da4c4b589a919791a64c4f6147b37f57993e5890f,12/09/2024
53506-54,257,05/30/2016,7d8965bb5de599b951b16df1e6b4cfa95c8184aa8b236c38386941b76f742c28,12/09/2024
53506-54,350,06/15/2021,156a9321b7208825a327c604d270f789f34b7cedca58bf6f7333fe3e8c7dc65a,12/09/2024
53506-54,423,08/17/2021,b45060a1390676af3a78bd8b86c49f46bf4a2bc384c332351ebaf0078dc05f5a,12/09/2024
53506-54,456,03/22/2022,cce13f1e0583c915c17593dc37937645935608c07fdf32deebc2946743e4e202,12/09/2024
53506-54,483,10/21/2022,d89666a7733ed48e31ae45a4c96f98c9c797d862d2c6f5064e337a9ed9c8ad70,12/09/2024
53506-54,472,01/24/2024,64e9f0f9407e7f41a0a99b76244b1e296204f42024051898dae0f8a0fa5fc833,12/09/2024
54225-28,51,05/15/2014,018625ade0da3c1d39e475597374e60cac0b075eb0ed928c11877086e868a3e7,12/09/2024
54225-19,51,05/13/2014,730678ca459e7cffa320a48cc0c9cfd16f5dd31c8cdee42f35cc23c92cac7742,12/09/2024
54225-19,96,10/22/2020,d48d06b37e2d261b34a9261b934d63e0339754ba1b38b8639b83b2034136f637,12/09/2024
54225-19,108,05/24/2021,24ddc39da45488549afda46f659689150e183fdc54cb749132e112a77e965b3c,12/09/2024
54225-19,107,12/16/2021,68b667ad94475552267db66cea296cd0bbb9d2b3e4795e229ecad4cb7a28e0b5,12/09/2024
54225-19,96,06/18/2022,3adc4f7cbcca35c8e0ef40aaf73468d9261d9e9a813be0e2b9ced6b6eb92a529,12/09/2024
54225-19,83,02/09/2023,323d021436e9d7b64ff71b93e96cd594bb6f4a6b236edd3513a68e63ea1ce94a,12/09/2024
54225-19,74,09/05/2023,ccd6ab0dc486489b65255ebdd57c4bece8b40420aa1640df32876b0f798aa1a6,12/09/2024
54077-77,3,12/31/2020,8a8395f35260fbc2cef8005d10e45593e219b12ec04864ba7e48d093e70e39be,12/09/2024
54077-77,11,02/21/2021,7b264bb442f4998b59b2fb69ebf13a2fa1e86e24fb3b0ea66ca93ed0b2bad8f7,12/09/2024
54077-77,16,12/31/2021,fd9c4a2b27935ce54cb16f4cc66f26ada54db0dedb34d328418ad62e27d275b7,12/09/2024
54077-77,20,01/19/2022,c179ea7b8b26cd6abffbdaca792420ffea90ce339dd35588e6e5dbc7f44aa0ec,12/09/2024
54077-77,28,06/30/2022,8cf4f748752162afade7914951dc3e42c58ab49bb923e955afa686f154743eb5,12/09/2024
54077-77,22,08/01/2022,bd6affb923cc48b439386efcfe5c93b7b510a37873da0ca7774e6b2bb5cf66d6,12/09/2024
54077-77,35,12/31/2022,182b27c28c0cda458bfb6b2d3386853b9b3f27fa4919f2b1d78ffb5268e36451,12/09/2024
54077-77,30,01/01/2023,d6cb7e9cb3677cbd31ded1b87f15e0330860ff94bbbbd1b27c6de97b99124210,12/09/2024
54077-77,28,01/04/2023,1d817c86cfdaf1e4fc79d9e893269e68b549008f2b35b647402a1a14df646f0d,12/09/2024
54077-77,41,06/30/2023,dab2ee59a9832b77771fd179d930ed2a30b72031903a9519be06c30a7db8b3f9,12/09/2024
54077-77,33,07/21/2023,049879736aea44a6f9231784ae61aff1f9475c21f8d6b954c225719f64f74abe,12/09/2024
54077-77,41,08/14/2023,bb740b603cc94ff0561206363ff6140e719bc0faa82e57ce1d3a566eaa51f6c6,12/09/2024
54077-77,42,05/27/2024,ebc6eadddc6f391ff9392a4336a57051c2f327928d78284d232c84991d281eac,12/09/2024
53433-73,15,03/07/2014,0cd64372f926f9efbc10af7fcd5c2bbfeb8e22e502f92fafce30234f3e9670c3,12/09/2024
53433-73,50,04/16/2014,d1c8db9604b42388b867041d221323efa05d826acb270dcfa92d75c1d2288849,12/09/2024
53433-73,50,08/26/2014,a609c4569acf605c00f0f14db27bd2e84d845ab82439c851a4056fd8e044e0e0,12/09/2024
54751-78,87,06/27/2014,84aed7069cbc3eed3b74feaaa951cecd4f80452ba914a9f8ad1e50e61e671d30,12/09/2024
54751-78,95,07/21/2016,ba64dd5ab036014dce23839ddd94d9723f4862ebdd8f084faee1233d602c6ad8,12/09/2024
