FundID,FundName,FundFormerName,FundNo,FirstFund,Investor,InvestorWebsite,Vintage,FundStatus,FundSize,NativeFundSize,NativeFundCurrency,FundSizeGroup,FundCategory,FundType,FundAccessPoint,SBICFund,CloseDate,OpenDate,FundTargetSizeLow,FundTargetSizeHigh,FundTargetSize,Domiciles,FundLocation,FundCity,FundState_Province,FundCountry,TimeTakenToCloseFund,FundFamily,TotalFundInvestments,AsOfYear,AsOfQuarter,IRR,DPI,TVPI,RVPI,GainSinceInception,Contributed,CalledDownPercent,DryPowder,DryPowderPercent,Distributed,NAV,DistributedAndNAV,Sources,Quartile,IRRDifferenceFromBenchmark,DPIDifferenceFromBenchmark,TVPIDifferenceFromBenchmark,RVPIDifferenceFromBenchmark,IRRBenchmark,DPIBenchmark,TVPIBenchmark,RVPIBenchmark,RowID,LastUpdated
11086-93F,CRP IV - SCTec,,4,,CRP Companhia de Participacoes,CRP Companhia de Participacoes (www.crp.com.br),2001,Closed,3.0,3.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2000,,,,,Brazil,"Porto Alegre, Brazil",Porto Alegre,,Brazil,,CRP,3,,,,,,,,,,,,,,,,,,,,,6.32,1.03978261,1.145,0.0,f0864759d9e65d3971ce9fd7501121571174cc3ca41cc0af806ac3ed298c909c,12/09/2024
11087-29F,Crosspoint Venture Partners 2000,,8,,Crosspoint Venture Partners,Crosspoint Venture Partners (www.cpvp.com),1999,Liquidated,900.0,900.0,USD,500M - 999M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/01/1999,,150,,> 150,United States: Delaware,"Redwood City, CA",Redwood City,California,United States,,Crosspoint Venture Partners,57,,,,,,,,,,15.32,1.702005,,,,,,,,,,-3.68,0.73,0.82,0.0,8fa962109b827d26cb2af87d63e672a874578bcce636c40946c3d9690a561535,12/09/2024
11092-60F,DFJ DragonFund China,,1,Yes (Draper Dragon),Draper Dragon,Draper Dragon (www.draperdragon.com),2007,Closed,100.0,100.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,05/14/2007,02/01/2006,,,,"Cayman Islands, United States: California","San Mateo, CA",San Mateo,California,United States,1 year 102 days,DFJ DragonFund China,15,2010,2Q,,0.0,,,,51.086,51.09,2.06,2.06193,,,,"NJDI, Prospect Hill Foundation",,,-1.40025611,,,11.54,1.40025611,1.72,0.32,86655e68d11da58b135e8eb01e396f01f0c2e4a8b69e8e0f10fcae6395ddb977,12/12/2024
11108-71F,Explorador.net Fund,,1,,Explorador Capital Management,Explorador Capital Management (www.explorador.net),1999,Closed,25.0,25.0,USD,0 - 99M,Private Equity,Buyout,Primary Fund,No,01/01/1999,,,,,Argentina,"Buenos Aires, Argentina",Buenos Aires,,Argentina,,,2,,,,,,,,,,,,,,,,,,,,,5.55,1.14,1.14,0.31155,1d9ea49835b7255e39ba787e5038d5799e549373d88f60dc7e412f01de7b4933,12/09/2024
11110-96F,Finaves Fund,,2,Yes (Finaves),Finaves,,2000,Closed,2.77,2.77,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2000,,,,,Spain,"Barcelona, Spain",Barcelona,,Spain,,Finaves,2,,,,,,,,,,0.01,0.19598975,,,,,,,,,,-3.0,0.79,0.82,0.05,66fc5a1c5fa86bdc0764fdd5210d8213e6759334b95a925c73af02f38af78c49,12/09/2024
11117-62F,Forward Ventures IV,,4,,Forward Ventures,Forward Ventures (www.forwardventures.com),2003,Fully Invested,256.3,256.3,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,05/01/2001,,,,,United States: Delaware,"San Diego, CA",San Diego,California,United States,,Forward Ventures,68,2021,3Q,-4.67,0.63,0.63,,,257.63017137,100.00,8.97,3.5,163.31,,,"DEPP, LACERA, The Achelis Foundation",3 (Lower-Mid),-7.12,-0.465,-0.57,,2.45,1.095,1.2,0.01,3c9e4512874a342ad48752e6ca03cd4ed7624c8cb5e38b0768e5f82d8bcb95e4,12/09/2024
11120-14F,Frazier Healthcare IV,,5,,Frazier Healthcare Partners,Frazier Healthcare Partners (www.frazierhealthcare.com),2001,Closed,404.0,404.0,USD,250M - 499M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2001,,,,,United States,"Seattle, WA",Seattle,Washington,United States,,Frazier Healthcare,136,2024,1Q,0.815,1.04,1.06,0.02,26.0990464,401.576,99.40,2.42,0.6,417.94,9.7377736,427.6750464,"IPERS, PBGC, WSIB",3 (Lower-Mid),-2.675,-0.13,-0.14,0.005,3.49,1.17,1.2,0.015,32d073441f2c49088c1d71ac64e31562ed9637049c3101586b6a0b9a15c95f24,12/14/2024
11171-89F,Magma II,Magnum Venture Fund II,2,,Magma Venture Partners,Magma Venture Partners (www.magmavc.com),2006,Closed,105.0,105.0,USD,100M - 249M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2006,,,,,Cayman Islands,"Tel Aviv, Israel",Tel Aviv,,Israel,,Magma,29,,,,,,,,,,2.63,2.5,,,,,,,,,,-11.5,0.42,1.185,0.045,bb4cd588b79d09e4eb194b9520f94b6ee0d7e439983aea9671d45ebf4dadfdd7,12/09/2024
11244-25F,Qualcomm Ventures,,1,Yes (Qualcomm Ventures),Qualcomm Ventures,Qualcomm Ventures (www.qualcommventures.com),2000,Closed,500.0,500.0,USD,500M - 999M,Venture Capital,Venture - General,Primary Fund,No,01/01/2000,,,,,United States,"San Diego, CA",San Diego,California,United States,,,104,,,,,,,,,,5.7,1.13980833,,,,,,,,,,-1.245,0.9755,0.97,0.0,c4c28366b033c943b49f8a859dd2cb1b88a5075e8273d727403da22d7841ea4b,12/13/2024
11244-88F,Quan Ventures I,,1,Yes (Quan Funds),Quan Funds,Quan Funds (www.quanfunds.com),1996,Liquidated,1.08,1.08,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,05/31/1996,,,,,Switzerland,"Geneva, Switzerland",Geneva,,Switzerland,,Quan Ventures,9,2000,1Q,294.0,5.77,5.77,0.0,5.15,1.08,100.00,0.15,14.0,6.23,0.0,6.23,Quan,1 (Top),282.095,4.535,4.46,0.0,11.905,1.235,1.31,0.0,4f51e7e50229548bb5acd9a376a416dc8ddd70cf198022fff88edd1192e5bdc2,12/09/2024
11252-17F,Rock Maple Ventures I,,1,Yes (Rock Maple Ventures),Rock Maple Ventures,Rock Maple Ventures (www.rockmapleventures.com),2001,Liquidated,62.0,62.0,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,01/01/2001,,,,,United States,"Boston, MA",Boston,Massachusetts,United States,,Rock Maple Ventures,20,,,,,,,,,,1.35,2.18165909,,,,,,,,,,-0.3,0.78021641,1.025,0.04862838,8af438ad627600e0a6f95e556666e6ada3c3c5585a0b3b0e508820632ba99690,12/09/2024
11298-97F,UPS Strategic Enterprise Fund,,"1 (United Parcel Service of America), 1 (UPS Ventures)","Yes (United Parcel Service of America, UPS Ventures)","United Parcel Service of America, UPS Ventures",United Parcel Service of America (www.ups.com),2006,Closed,50.0,50.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/1997,,,,,United States,"Atlanta, GA",Atlanta,Georgia,United States,,,40,,,,,,,,,,0.0,0.0,,,,,,,,,,5.88,1.04,1.53,0.32,e3433a8a88615d7a5fb0f760bfac4effa6a00a9ebe9cc9fbeb2f75509a3e851e,12/09/2024
11372-86F,Newbridge Andean Partners,,"1 (ACON Investments), 9 (TPG), 6 (TPG Newbridge)",Yes (ACON Investments),"ACON Investments, TPG, TPG Newbridge","ACON Investments (www.aconinvestments.com), TPG (www.tpg.com)",1996,Fully Invested,161.0,161.0,USD,100M - 249M,Private Equity,Buyout,Primary Fund,No,02/01/1997,,,,,United States,"Washington, DC",Washington,District of Columbia,United States,,ACON Latin America Opportunities Fund,5,2024,2Q,1.98,1.16,1.16,0.0,,,,0.93,0.58057,,,,ACON,3 (Lower-Mid),-3.64,0.19,-0.45,0.0,5.62,0.97,1.61,0.0,29839dcbf96d09738c83b804c4648074f0d79f7cc6956b263325f4abdadb7c51,12/09/2024
11575-99F,Gavea Investments II,,3,,Gávea Investimentos,Gávea Investimentos (www.gaveainvest.com.br),2007,Closed,,,USD,,Private Equity,Buyout,Primary Fund,No,04/01/2007,,,,,Brazil,"Rio de Janeiro, Brazil",Rio de Janeiro,,Brazil,,Gavea Investments,6,,,,,,,,,,,,,,,,,,,,,,,,,ced41ddac71186408e4bc16919fa8daffd6e26bab60321b5a9a7aa3078a4cff7,12/09/2024
11579-32F,Bessemer Venture Partners VII,,7,,Bessemer Venture Partners,Bessemer Venture Partners (www.bvp.com),2007,Closed,1000.0,1000.0,USD,1B - 4.99B,Venture Capital,Venture - General,Primary Fund,No,07/19/2007,,750,,> 750,Cayman Islands,"Redwood City, CA",Redwood City,California,United States,,Bessemer Venture Partners,275,2023,2Q,12.0,1.69,1.69,,547.2916,793.1105,79.31,16.25,1.625,1340.40,,1340.4021,"ATP PEP, UC Regents",2 (Upper-Mid),0.0,-0.0075,-0.47,,12.0,1.6975,2.16,0.185,22e41687c2b4ac45686fa875746a8e07d67e3773508683bde9010d886848340a,12/14/2024
11597-59F,Draper Fisher Jurvetson Fund IX,,10,,Draper Fisher Jurvetson Management,Draper Fisher Jurvetson Management (www.dfj.com),2007,Liquidated,656.0,656.0,USD,500M - 999M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,11/27/2007,02/22/2007,600,,> 600,United States: California,"Menlo Park, CA",Menlo Park,California,United States,278 days,Draper Fisher Jurvetson Fund,182,2023,3Q,12.5,,2.81,0.0,,,,10.66,1.625,,,,Wilshire,2 (Upper-Mid),0.5,,0.65,-0.185,12.0,1.6975,2.16,0.185,ec89aab4f4e79c246a8c433fc369fe10aec7ae8435f7a70cbf7853d9880ae489,12/14/2024
11628-64F,Element Partners II,,2,,Element Partners,Element Partners (www.elementpartners.com),2008,Closed,537.25,537.25,USD,500M - 999M,Venture Capital,Venture - General,Primary Fund,No,03/23/2012,05/01/2008,400,500,400 - 500,United States: Delaware,"Wayne, PA",Wayne,Pennsylvania,United States,3 years 327 days,Element Partners,41,2023,2Q,5.9,1.46,1.5,0.04,248.48752687,502.94470713,93.61,8.04,1.49583333,733.53,17.89912845,751.432234,"LACERS, LA City Employees' Retirement System",4 (Bottom),-9.2,-0.47,-0.765,-0.125,15.1,1.93,2.265,0.165,259ed3250b2f47ce22626a8c93561983089f7aa9f8e98ade410673b61eb06904,12/14/2024
11643-31F,Flybridge Capital Partners III,,3,,Flybridge Capital Partners,Flybridge Capital Partners (www.flybridge.com),2008,Closed,280.65,280.65,USD,250M - 499M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,03/17/2008,03/01/2008,0.65,,> 0.65,United States: Delaware,"New York, NY",New York,New York,United States,16 days,Flybridge Capital Partners,117,,,,,,,,,,4.2,1.49583333,,,,,,,,,,15.1,1.93,2.265,0.165,c7ce5afd0ff1b108036c1dc834f92439ce39caa53d76232f66097b7148dbd20d,12/14/2024
11644-30F,IGNIA Fund I,,1,Yes (IGNIA Partners),IGNIA Partners,IGNIA Partners (igniaunlocked.mx),2010,Fully Invested,102.0,102.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,06/22/2010,05/30/2008,50,75,50 - 75,Mexico,"San Pedro Garza García, Mexico",San Pedro Garza García,Nuevo Leon,Mexico,2 years 23 days,IGNIA Fund,24,2020,1Q,-4.3,0.01174385,0.16,0.14676155,-64.488916,76.636162,75.13,3.54,3.46931414,0.90,30.37373,31.273734,"IGNIA, The Robert and Ardis James Foundation",4 (Bottom),-19.35,-0.81325614,-0.9,-0.42366322,15.05,0.825,1.31,0.82,e297450d99d0a7a6a20de49fe4d909eea399127aa3399a76f0e496afd270277e,12/10/2024
11852-56F,Benchmark Capital Partners VI,,11,,Benchmark Capital Holdings,Benchmark Capital Holdings (www.benchmark.com),2009,Closed,500.0,500.0,USD,500M - 999M,Venture Capital,Venture - General,Primary Fund,No,01/15/2008,01/01/2008,449.03,,> 449.03,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,14 days,Benchmark Capital Partners,91,,,,,,,,,,1.82,0.36466,,,,,,,,,,11.475,1.13,1.76,0.595,ce3ed982974291ca899cc15803c71ca0223b3e7a3bcad19802fdaf150288c68a,12/13/2024
11852-83F,Element Partners I,DFJ Element Partners I,1,Yes (Element Partners),Element Partners,Element Partners (www.elementpartners.com),2006,Closed,284.0,284.0,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,06/28/2006,,,150,< 150,United States: Delaware,"Wayne, PA",Wayne,Pennsylvania,United States,,Element Partners,38,,,,,,,,,,2.81,0.98830667,,,,,,,,,,6.01,1.39,1.445,0.095,158896f999629516fe5dc6ff9b8144e844867f88baef1a9e9abf1bc054a81530,12/14/2024
12415-06F,Hicks Muse Tate & Furst Latin Am. Fund II,,5,,Hicks Muse Tate & Furst,,2000,Liquidated,125.0,125.0,USD,100M - 249M,Private Equity,Buyout,Primary Fund,No,01/01/2000,,,,,United States,"Dallas, TX",Dallas,Texas,United States,,Hicks Muse Tate & Furst Latin Fund,3,2020,4Q,-20.21,0.25,,,,125.29771875,100.00,1.64,1.30875,31.01,,,"Colorado PERA, PERA",4 (Bottom),-31.77,-1.3,,,11.56,1.55,1.585,0.0,b700a451e39f461fb6fba22b334d11bd1e0341ff810858db5f822b2aa0e61de8,12/11/2024
12485-62F,Chase Capital Partners Asia,,1,Yes (Chase Capital Partners),Chase Capital Partners,,1999,Fully Invested,1100.0,1100.0,USD,1B - 4.99B,Private Equity,Buyout,Primary Fund,No,05/01/2000,,,,,United States,"New York, NY",New York,New York,United States,,,72,,,,,,,,,,0.0,0.0,,,,,,,,,,11.91,1.75,1.75,0.0,8fac484643e508b0efb3813a153f996eb74ebb3b9216c6be4a6d902d396f8a26,12/09/2024
12561-58F,Accel London III,,26,,Accel,Accel (www.accel.com),2010,Closed,528.6,528.6,USD,500M - 999M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2009,12/01/2008,550,,> 550,United States: Delaware,"London, United Kingdom",London,England,United Kingdom,31 days,Accel London,47,,,,,,,,,,10.3,1.94777674,,,,,,,,,,2.105,0.905,1.38,0.475,a0ec42c2bb24710e4ba17a7bc1d8b4af3cb073add6643814f37102130ea9996b,12/15/2024
12567-34F,Khosla Ventures III,KV Expansion Fund,3,,Khosla Ventures,Khosla Ventures (www.khoslaventures.com),2009,Closed,1000.0,1000.0,USD,1B - 4.99B,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,03/01/2009,01/14/2009,750,1000,750 - 1000,United States: Delaware,"Menlo Park, CA",Menlo Park,California,United States,46 days,Khosla Ventures Fund,331,2024,2Q,9.71,1.8,1.85,0.05,852.61829083,1000.0,100.00,0.0,0.0,1802.08,67.90424242,1852.61829083,"ACERA, CalPERS, Michigan Department of Treasury, PBGC, SMRS, TCDRS",3 (Lower-Mid),-1.675,0.67,0.09,-0.545,11.475,1.13,1.76,0.595,5cdf192d7581d02184292320e8294256647c8c09ca4eca9b23a96226cd15b6cc,12/14/2024
12572-20F,2bCapital-Brazil Mid Market Growth Fund,,1,Yes (2bCapital),2bCapital,2bCapital (www.2bcapital.com.br),2013,Closed,100.0,100.0,USD,100M - 249M,Private Equity,Growth/Expansion,Primary Fund,No,12/01/2013,,200,,> 200,Brazil,"Sao Paulo, Brazil",Sao Paulo,,Brazil,,,5,,,,,,,,,,3.39,3.38619473,,,,,,,,,,14.87,1.408,1.5,0.09,0ce2ba900b8a2768ab944237aa0a1fd2aed7558c8d49946eecfcb77e3f907ca4,12/09/2024
12574-63F,Aberdare Ventures IV,,2,,Aberdare Ventures,Aberdare Ventures (www.aberdare.com),2008,Fully Invested,124.625,124.625,USD,100M - 249M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2008,03/01/2008,150,,> 150,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,305 days,Aberdare Ventures,49,2022,2Q,-3.4,0.83,0.83,,,,,0.0,0.00000424,,,,CalPERS,4 (Bottom),-12.15,0.0,-0.55,,8.75,0.83,1.38,0.535,1340f8956bf941986d211e8bc6d559c83d18dc5b7c9b190161edd4908337e8f3,12/16/2024
12679-30F,Redpoint Ventures IV,,5,,Redpoint Ventures,Redpoint Ventures (www.redpoint.com),2010,Closed,404.0,404.0,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,02/11/2010,02/05/2010,400.1,,> 400.1,United States: Delaware,"Woodside, CA",Woodside,California,United States,6 days,Redpoint Ventures,187,,,,,,,,,,11.92,2.950014,,,,,,,,,,12.255,1.3725,1.89,0.5525,1e20d2496e0fd61e32a005d6ec9de9818beb262cedd5adad39f106ee75681e3f,12/14/2024
14040-37F,Mexico Ventures I,,"2 (Fondo de Fondos), 4 (Sun Mountain Capital)",,"Fondo de Fondos, Sun Mountain Capital","Fondo de Fondos (www.fondodefondos.com.mx), Sun Mountain Capital (www.sunmountaincapital.com)",2011,Closed,80.0,80.0,USD,0 - 99M,Venture Capital,Venture - General,Fund of Funds,No,03/30/2012,,,,,"Canada, Mexico, United States","Santa Fe, NM",Santa Fe,New Mexico,United States,,"Mexico Ventures, Mexico Ventures",6,,,,,,,,,,3.8,4.75,,,,,,,,,,15.98,1.0,2.1,0.97,114230d8ce0b2bb42ee00f69786484e251bddee824b8c4a6be6ec69efb02073b,12/12/2024
12725-92F,Founders Fund III,,3,,Founders Fund,Founders Fund (www.foundersfund.com),2010,Closed,250.0,250.0,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,07/19/2010,02/19/2010,188.16,,> 188.16,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,150 days,The Founders Fund,162,,,,,,,,,,7.38,2.950014,,,,,,,,,,12.255,1.3725,1.89,0.5525,0e0dfac07ee824ca083396d251e0fbf72cf56781f387818e506844dfc33f3b89,12/14/2024
12732-31F,Y Combinator Fund II,,2,,Y Combinator,Y Combinator (www.ycombinator.com),2010,Closed,90.0,90.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,05/23/2010,,8.25,,> 8.25,United States: Delaware,"Mountain View, CA",Mountain View,California,United States,,Y Combinator Fund,587,,,,,,,,,,3.12,3.46931414,,,,,,,,,,15.05,0.825,1.31,0.82,82395b20204630e9a76f157328864a9201638282bc047b5d3e859f9c58a76c91,12/10/2024
12796-21F,Storm Ventures Fund IV,,4,,Storm Ventures,Storm Ventures (www.stormventures.com),2011,Fully Invested,95.525,95.525,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,04/15/2013,10/19/2010,100,,> 100,United States,"Palo Alto, CA",Palo Alto,California,United States,2 years 179 days,Storm Ventures Fund,71,2024,2Q,25.9,0.72,8.68,7.96,571.9,74.5,77.99,4.54,4.75,53.60,592.8,646.4,Storm,1 (Top),9.92,-0.28,6.58,6.99,15.98,1.0,2.1,0.97,f3a9f75103ae73c25deb69002ad2931feb1aad5ed7ed8879030bda89e8973ef4,12/12/2024
12932-65F,Angel Investors I,,1,Yes (Angel Investors),Angel Investors,,1999,Closed,,,USD,,Venture Capital,Angel Fund,Primary Fund,No,01/01/1999,,,,,United States,"Los Angeles, CA",Los Angeles,California,United States,,Angel Investors,45,,,,,,,,,,,,,,,,,,,,,,,,,2246287b058f455523e241a93e2509bb96aad224f7364875ecd9077dd017198e,12/09/2024
12949-03F,Insight Venture Partners VII,,9,,Insight Partners,Insight Partners (www.insightpartners.com),2010,Fully Invested,1568.8,1568.8,USD,1B - 4.99B,Private Equity,Growth/Expansion,Primary Fund,No,04/05/2011,,1400,,> 1400,"Cayman Islands, United States: Delaware","New York, NY",New York,New York,United States,,Insight Venture Partners,78,2024,2Q,21.2,2.44,3.15,0.71,3730.95255572,1735.87688624,100.00,,,4229.49,1265.14781643,5494.97795804,"APFC, ARMB, IPERS, Mass PRIT, NVPERS, Pennsylvania SERS",1 (Top),7.94,0.82,1.445,0.64,13.46,1.62,1.745,0.11,e0d189843c5d4dc14e2b1d89be1766b1c478e3edb96cd10511acb3cb1b7ead8e,12/15/2024
12972-79F,Tiger Global Private Investment Partners II,,2,,Tiger Global Management,Tiger Global Management (www.tigerglobal.com),2007,Closed,,,USD,,Venture Capital,Venture - General,Primary Fund,No,02/06/2007,,,,,United States,"New York, NY",New York,New York,United States,,Tiger Global Private Investment Partners,64,,,,,,,,,,,,,,,,,,,,,,,,,0bbfc0e61dd730b43439f9f124b30b4b57dc7eaf9b9876cb954db4d5457335a8,12/16/2024
