CompanyID,EntityType,IsPrimary,RowID,LastUpdated
52939-00,Investor,No,ae50906c2caa8060e59179262ea445ce8bfe84716986f38ea4fefa19104cf897,12/09/2024
52939-00,Company,Yes,99f989d6e3936f3c1cd12850104277162b0b2f99c1e3279023ec16d1d2b349fd,12/09/2024
52961-50,Investor,No,b80836d1d0f9092798cec1d41daa8f629734ceafd9f5a4020ed0ffb02d37e5d8,12/09/2024
52961-50,Company,Yes,3217cf157787e13fb8819c0242dac137551cad565f3f11db5e3cac498d1c57af,12/09/2024
53402-41,Company,Yes,e3e576e49f7f57ec3b70587606e457ae6d29ed53b1d8b3c13b7203fab03a3b14,12/09/2024
53433-73,Company,Yes,5d5a561703b4e9f4e85e504269033b19aa8d69efa1e0b139240feccc8718b6df,12/09/2024
53506-54,Investor,No,4563e1e719a24b73ab32136ac7867b20ad919068ecf6f5499ab46be01af6b4e3,12/09/2024
53506-54,Company,Yes,07f1efec395a47cd5746a5709ac37f6eb2c10c12f62c941730f4d5b349648ae6,12/09/2024
53513-56,Investor,No,7fffebfb57ffda0f028271881c3ef313ffd8a33c0e98ca1b185b1e461f002b9e,12/09/2024
53513-56,Company,Yes,760c52947b9581e37ee50bc352354853d08376d4e24039323b5cc0763efa7b1f,12/09/2024
53637-31,Company,Yes,59695163604580426084c581cdebb966558a97d5a7cc8dfe661e89a1535f092e,12/09/2024
53680-78,Company,Yes,05fca9dc6ee38a94c8126cfa53f161de02da1d3089bd565466f8bdb4b0f876d6,12/09/2024
53776-90,Company,Yes,53a6c3948170ea5235978ae337b69859863ce155c7fbaaafb9fd2506ceb539d5,12/09/2024
53869-33,Company,Yes,2d43546bf2ff5798c897a74f1f34f22a8d527ca5d63a3e1723279d70a64fcd8e,12/09/2024
53869-78,Investor,No,52e88a1b04a2fbc562085fcf91c9f3d06dc5e4b419e30be085d14dea41a3982b,12/09/2024
53869-78,Company,Yes,b7fbabef5bbd31bbf8afc4ab992a27e7a51c3686fe4f565b1b6d240c892a7f0d,12/09/2024
53870-05,Investor,No,6540b9b25e5d07c827247265065c13a919c6e5c76517783e3a77771df44b88a7,12/09/2024
53870-05,Company,Yes,b0446093a10697b64e6e5551452507839fc2d96762575b709fd5b3c10968f24a,12/09/2024
53886-52,Company,Yes,d32fed97573d5f1acda45e23ff8d5e4752224bb71418b564a4fd9ebc439010ae,12/09/2024
53886-70,Company,Yes,5ac038f79c1db3b03c1bc11e047dcb2acf3349d57f703cedc089a0b579d6b056,12/09/2024
53947-54,Company,Yes,d9103a441603f57e40ff229400294355b4b18b83209cad3e2186801d57c46b56,12/09/2024
54009-91,Company,Yes,0c55e4f8b5fc48325bdee9f3814830eb67d594db7d3757015b04f6e80520b10e,12/09/2024
54076-69,Investor,No,a957ae081d3d007a260ba6e836ff760cdb39e1e2c786e421f652bfcfa89f987f,12/09/2024
54076-69,Company,Yes,cdcd6c0bde37a5bccb145cb7bcccebb5b75423589254c63f6336f56b0f6e5216,12/09/2024
54077-77,Company,Yes,cbbd9abe9237c527c1500f1e441521f754bd70a42b4722d5e9ebbf454b30724c,12/09/2024
54216-82,Company,Yes,2c134b1101428c90c638b83e1193a2e5bd3b92967cfd285b98c5460b9e6cd859,12/09/2024
54225-10,Company,Yes,e422b83502eaaa676e02fb639ff80b675eb5c225fc2548dc5c543c7d42568d8e,12/09/2024
54225-19,Company,Yes,abd0b3c0cead767cb12300f8f9c2ab8ee14651d05ebb0e9860461e6f9f51a2fb,12/09/2024
54225-28,Company,Yes,136ff4e7b9668adc900a823e02d367fda44d85a5b872ab513bfe7e53af12eb59,12/09/2024
54228-79,Company,Yes,92de07b50b9884ef0a81454d724c9e78182a0e81901205b4173e586c315cf84e,12/09/2024
54229-15,Company,Yes,3503db74ebadc9156d322ac4a65cd947cf978dce370b338b207a37b7cc876eb8,12/09/2024
54240-13,Company,Yes,db66fd03412e9190dde3f89c544db18dcdf05a6bb2be62b82c23fa9d994a9776,12/09/2024
54360-46,Investor,No,b809b94f31e89ff3a78d09edc8816f50afd5d6a0b570a1f91b8aa7b7a199eb49,12/09/2024
54360-46,Company,Yes,177f23ce323fa940b0ba2383d1b2e6c0319fc1f8cfd7a982ad582b8ded4cf6f6,12/09/2024
54437-41,Company,Yes,2a22657a78f11d89decd74fed954b4b3907c523501f7b774d269d22bc2e80045,12/09/2024
54453-79,Company,Yes,c0983e5001eca0f81ef83e1d8e109bd1adbd96c9c536841c8b626131bbf56822,12/09/2024
54454-06,Investor,No,05fcd2d84340f77359865be07e6dcd5c5c08ac6877e0ec482babef1dd35d7096,12/09/2024
54454-06,Company,Yes,8ea326ecb9814eb7fcefeac46fa9d5d7bc4741fd0ea4e2f02869b43ada6f9b10,12/09/2024
54501-85,Investor,No,a32c28ccfd510d943e4d8b34e6cb66694e338ab1b73891cdd965da0cc4b0adfd,12/09/2024
54501-85,Company,Yes,d0028dd56245e4fbdad0cb3f9488cc9e325ed92ede1c4bf8fda3411242a4f922,12/09/2024
54534-25,Company,Yes,0b2e5bb947d53f8199e26091db7f5a387e8c5be6f864d9c7ca2ee49ae243b4db,12/09/2024
54553-60,Company,Yes,b067eb89d9069860d0543c723389b114ae1049c0abeb5a124261549408a2929e,12/09/2024
54601-21,Company,Yes,83d04e4558f21d74946d5b4e18a218615142f355d0bb47ca308e3d1f951ff757,12/09/2024
54729-10,Company,Yes,b5ca05018ada85a5d7def872311d18cbc0644bf0053ec3e03370ba23e80f8e14,12/09/2024
54748-36,Company,Yes,a7d2ce96bac3aeb99d0e0306859931416a865fb7bccd1c0c6d96ac2764029ab1,12/09/2024
54749-17,Company,Yes,5fb50e1ba901acf250cc69a750bd789cc12aa45d17cc51cdf27001f5fe1bcb4e,12/09/2024
54751-78,Company,Yes,d1b71492535c19c495da435e5a3cdcdffcdc2a822a88a9fa637d4b31e5612438,12/09/2024
54757-18,Company,Yes,cedc5bea4d3794eb5eee367dc146a7761a949b3fe6a726a922a9d13bfda62cda,12/09/2024
54757-27,Company,Yes,495c8b8ac86019787d30f24db848ff499e41661460668cfadd5fb6d38ee447af,12/09/2024
54760-15,Company,Yes,bd05c48d9d2de18bbe94e13b8ed1c92792d021837a257d52fe5ed85d34f49777,12/09/2024
54768-88,Investor,No,b8b5983b2fa02ca8de99b059867c9b11888f20cfe9139fba8a3dc9ea0916874c,12/09/2024
54768-88,Company,Yes,e96d1f53a1f1032ab4aea8fad3c287c0bcaa903a4a77bf0ff40606bb829962e9,12/09/2024
54782-74,Company,Yes,9b8cc04c9282b9cdadafde5d7318338da1fe9fa855775d9278fefa7ac1b0fc47,12/09/2024
54919-00,Investor,No,aa6a7a2706c3d7756e69eb0de6b7c02651fdc130cf051fcdfc3bf5c0fb231197,12/09/2024
54919-00,Company,Yes,c5edd335f1f0a1401a14000e191b1182150da7bfd626677cd29f36f5cdd1f07d,12/09/2024
54919-27,Investor,No,f3f5e2c82b48e177a84800e451708a8297f9f15eb2ceb8694758eeb6031a50da,12/09/2024
54919-27,Company,Yes,07def16edec74fd3a0526211a04f5a620fa7594d32474fb0630910e47d1d883b,12/09/2024
54940-06,Company,Yes,73570e2f9ed7de1884daa03185b57ac5a9621d5343c57cf0bbc48681ece4afff,12/09/2024
54950-59,Company,Yes,82bb13574302c2c554874082df728c25bf98feef7d82ac9ee317483f75a4fe40,12/09/2024
54978-40,Company,Yes,f1c4e4102fa74a7a0e19a04eaf26cc913807ce2a92db8a59ada602a9372ab15a,12/09/2024
54988-03,Company,Yes,c0dbfd49363a8d19456ef5192fa2ced48d55b2103786863546ea9fbf59a28f9a,12/09/2024
54990-10,Company,Yes,10c94788f671490c5a43ca9a28e632237edca0afe395aa88de767bac50566a7f,12/09/2024
55126-18,Investor,No,46db35c181289e33c14e06cfe18bbb0e29aae272cd1e3a7472f9156a8b0ce5fd,12/09/2024
55126-18,Company,Yes,5b10248b4104af839eb73ed9b883d9a12c7835b0ee3efe433e922e35e3076694,12/09/2024
55132-48,Company,Yes,f68e2daba03008d12b34c6ce9941ee8380378d611128c89388a0cf5b8f3c7e13,12/09/2024
55156-96,Company,Yes,e90de8aed7bc401f69f19900068334d3460eb4d3a1db17cef1e5c5fa4bb70899,12/09/2024
55167-67,Company,Yes,8fed7b4acd44c6d8fab027432d23fab112d9c6902f10f1751ce6fd9bb3f7f523,12/09/2024
55227-70,Investor,No,f125e7d1d9b31fa245e68f60bd4f56f79f4191ad0f07bf8ad17821bc67b5c5f8,12/09/2024
55227-70,Company,Yes,c95ab5cbdae4eeb08b3bafad06b660e0a5e392c36e65a6199520321c0b3c4d0f,12/09/2024
55240-84,Company,Yes,af5162123edf9360fadb0289b03170fadc79ec6aaddec2da65041fb018977ae9,12/09/2024
55246-78,Investor,No,590d791938632f433b2143741fd4b205cc0bde2f7a0d4db8aa00094a5f240bb6,12/09/2024
55246-78,Company,Yes,e8c67dfa8abc60c7e0c4cbc96459e0580f210f0ec2b7d3b0fe1dc2abcea2036b,12/09/2024
55266-31,Company,Yes,c44eaee0024ca0fd8e8b40d117c6571133cc9a239e70b0a3f544f90ffd5b2e6e,12/09/2024
55283-68,Company,Yes,3c736a33b8fb2e9329af49435f1ea637222196e8eea871a620685ab462c66192,12/09/2024
55349-38,Company,Yes,28c090094aae523360a080bc5e019d5a5f7d991a415a6de23a5df319f774e9c0,12/09/2024
55349-47,Company,Yes,d18f343083276356618fc1472da4b37b3f808eb1ec9a7eabbfe4579a524b865b,12/09/2024
55349-56,Company,Yes,84aca258050e028921f7ff8353672f534f23f6bfd6d42005cc12eb2451382617,12/09/2024
55349-65,Company,Yes,b57e7b863db66def95cdebb0e5f948ad677eec52704fafd79d4f74e4eee2b102,12/09/2024
55349-74,Company,Yes,c28b0b0d7e8ad8c9604c99eb828bf30b51c8b53050fab8a032e7e243d753a854,12/09/2024
55349-83,Company,Yes,971435c8e861d2ef4c6e4bc030b6832869c82bfae0eaff604d03cc1749eebaab,12/09/2024
55349-92,Company,Yes,90ac6d27cbc3bc029440b3a06a03d3c2f6336a30d6e7ffe680ab7171bb17f672,12/09/2024
55350-01,Company,Yes,bf5a1663501edb924be7ed174b0abb2922ac175587e47edc7f8d098c38abe780,12/09/2024
55354-96,Company,Yes,d0887cbac3d3c04e55f5150d72617f2c73b92acac96a5d71bd628a649d5e2d17,12/09/2024
55359-64,Company,Yes,5878a68241406a501f783e2b679d31f7180962637ed2fcfc5d0400ff21850463,12/09/2024
55365-67,Company,Yes,3b7cdeb267a4190f48b304d4cd3e0ef4ef4fd43b4cbfdd0a452170b42bc7bf09,12/09/2024
55370-44,Company,Yes,b89c14fb00e25c7b7b492bbdbb5c97f1eb33c903640a976cf6ea3cc2ff6c5033,12/09/2024
55407-61,Company,Yes,0254dd269477c240dbde6af8a99b4fa965667a2cd5ec014de4604a4e782300e7,12/09/2024
55419-94,Company,Yes,36b514fd1a00dc422aaa1a38c6534ee48136e8abc488959bdcad9bb22220edea,12/09/2024
55420-03,Company,Yes,64f74204a402a4e51a52027eddce57dfdbe52f005da5391aabd77ad7af72cdba,12/09/2024
55420-21,Company,Yes,c5fab7673fe61f4f6023e1804ed9c47dc7984593c478a3ce693cb237a42c0eb0,12/09/2024
55420-30,Company,Yes,9e257b293f96b8c5ef29828389c0178efe8438d8516a8587634d7a15ea3c3a3a,12/09/2024
55420-48,Company,Yes,3674859336426295665d3f7b4645dee110324e4f000e8dcc2be987efd5a5a6e9,12/09/2024
55449-73,Investor,No,b936b9b81a51b6261f8147afa1a3c18aae148a36ada0ba88c986eed4a255f945,12/09/2024
55449-73,Company,Yes,7b1b5579a2e5837558dc692f36c26a8cd0c05e24492abc32972ddcc83022acea,12/09/2024
55450-36,Company,Yes,be215693b058e60dbc414c0712fcbc1c7a0f3021e4123e035378411c7a2139d0,12/09/2024
55531-45,Company,Yes,06d3abcd4421ebca5cb173695abb86bbd8344c19ccbd75c758cb49a7f542e971,12/09/2024
55613-62,Company,Yes,4c84470e2bde80cc1eae68533a744c71124bdd2c7bf3f9026e724cdba3997e75,12/09/2024
55677-07,Investor,No,219765684ea6f1a76ca29cf2648b819e6bb5fd7212a727d5b9263636e8e0a81e,12/09/2024
55677-07,Company,Yes,9a7c2026aef2ac6a3204cf803c878db23602b67b63558a8a27b95a252d3a893d,12/09/2024
55739-62,Company,Yes,751889d1deda237a4ee24079c29991fec63920bef60199e79082e15cb5939708,12/09/2024
55813-24,Company,Yes,bdc508fb46c6ef02ca6f8d219f3ba24563b90ce713268005deb27e55d86742f3,12/09/2024
55815-76,Investor,No,f3bb4803ca0f580b7f56ff99cbfe6b246e1a2fdf756dfb4a9b27299c5fe8fa78,12/09/2024
55815-76,Company,Yes,01245384b5a37ea0b602e57c0cbefe88c281233e4637d2bae6347c0ed8d12585,12/09/2024
55867-42,Company,Yes,0e8738a67f212fdf47472f91f171888293da49c726ed2fa1983a641c94db820f,12/09/2024
55994-32,Investor,No,3ed2a072864bde58e8394289c1913dce878ddf6760343f4cd10b949d3b8cca4c,12/09/2024
55994-32,Company,Yes,688a4de577327541b9fc61bc2a0f829bb24c8d2af268602adb70b42604c973dd,12/09/2024
55998-10,Investor,No,b435cb4828067b3267216f54c81e2691922c0f76c17fad6e32934fa78a9c0205,12/09/2024
55998-10,Company,Yes,a124f09202d1e989ac32c642539a0817d0e1082e70063ba51aafbcb2c70e978a,12/09/2024
56068-39,Investor,No,21f0e2c456598414b3c05d4023d089321381f1607657c4549c6edf1d66165a76,12/09/2024
56068-39,Company,Yes,910d9f5c35b43c6e3906e2bc2255b022136903fc3d7df82471cacb6c6df86033,12/09/2024
56094-04,Company,Yes,61a8802021710f1b1c3b4f56f65c53669cf81a1e14bba858d6b25afe53fa46f1,12/09/2024
56094-13,Company,Yes,b6d70791afb49648704cd04e1e4f6f90b220ebf50812f3f923a788d767fe0745,12/09/2024
56131-12,Company,Yes,fbe0732f2b410487e45aae3f0c3f5244192ca94989a01cc00286278b347e4ed8,12/09/2024
56163-79,Company,Yes,23bc3e47487ea033129c63af556b243a0ab7370eddf1a715d3ac7f535dacf0be,12/09/2024
56174-05,Company,Yes,7658da66dc6181aa76cbeb272f9eee22477b53f38d2586304ab1b951c1ab1554,12/09/2024
56175-58,Investor,No,64dfe8ff4b5fa7422a565f81a2a84f6062f644a0bd3473a72187e0c2bb1e8b5e,12/09/2024
56175-58,Company,Yes,4aadcb52e8575880c30fbaaef9774a615eba0efa7e6226040fd1847c8f45716a,12/09/2024
56200-69,Company,Yes,9c2b2d61c42ba71eba8c734ae2f7c19e3f95ef8960d37b189ad95968605d4bb2,12/09/2024
56226-25,Company,Yes,2bff48923fd772d9864a942ca90c998645b325dc0e6824df6df1023254db5787,12/09/2024
56239-57,Investor,No,089eca1496a4d3050e1f4f8cb20c4511a819f10eb799f6884c918eba8db2106c,12/09/2024
56239-57,Company,Yes,c0e5b086f61a0728d220fcc0c536ab7046b3d983c1c1cc0ec12b6d7493ea7d4e,12/09/2024
56310-40,Investor,No,2c14a94aa4a018b4d74d8e4dc9afb20505461c4a908c1f9af0930620d9110355,12/09/2024
56310-40,Company,Yes,163f5393e306a7b5ee1310531db1cb16995a51d843b01773148b78bc40410056,12/09/2024
56311-39,Company,Yes,d9eaddbe797d7134762fa85a0b824732ce63390d53751b4f129c13b312e1a0e2,12/09/2024
56311-84,Investor,No,9352b58f51e8b88396a0e9ace95d8ed1eda4457d714d4841a58b0190b0a75375,12/09/2024
56311-84,Company,Yes,25769bd0b39a6f36aa86ef3591f3fa7e8cf23b4eda6c507ee9501dd9a2bfd126,12/09/2024
56312-11,Company,Yes,31a95f32756fef3830d744570bf9744d8001ba0eaa756a1f12f87ae10b9e9e66,12/09/2024
56312-38,Company,Yes,c009c3250f078d573b0637c48e711fd07e9eedffe07a500f64b95ab5f1a34280,12/09/2024
56313-73,Investor,No,ed1705cfd91b8a8e86e39f0b9e379a84878d4d27d6d9349c425061b907828c43,12/09/2024
56313-73,Company,Yes,2c948133bfb616d9cdcf4b591b2b264907147950a65efd312dbbf5b3c74f9383,12/09/2024
56316-16,Company,Yes,e43c58f5ef070af43c5a3fccf068d150a770b93eedd8778392a88e01a6fe0135,12/09/2024
56342-71,Investor,No,98367d246117fa1e19a6dbcfaadff35459afab67a6be1f7f877beed108f5623a,12/09/2024
56342-71,Company,Yes,b045e7f80cca445cf5b083016d7b583ab91216ec8b3b1d575e482c21afefeb27,12/09/2024
56351-44,Investor,No,84261259667a5876f4fa90d56236182728e97ec12a138ea423c17da8b7847da8,12/09/2024
56351-44,Company,Yes,ea88d1ce7150319411ea136fecf57e9d8138155b0c5ea294d6c2b7184559ab4e,12/09/2024
56377-54,Company,Yes,6882a7c4b1b0bf0f52b358dfdf30c5a8de6e77038594bd285a5633468c1db9ef,12/09/2024
56425-87,Investor,No,b295b997a5b1276a1d9e9c15bb6ebe3a969d52ee58182f32777945c936cc6f0f,12/09/2024
56425-87,Company,Yes,1a44489a937fc84b110a8708a6a5486ed6cb127f050bfe2b0929a358b070b4ef,12/09/2024
56425-96,Company,Yes,5d113c662e3d6977c3490641ed008e2be83e9a20d6a7ee03f4e298425ae4162e,12/09/2024
56450-71,Investor,Yes,3bcc47dd4edb98178d5a0f52c77c9317feb52c2508a1e9f22880e8d04acbe527,12/09/2024
56450-71,Company,No,eec51cf691081da5d318a13c55e77665be4cee68e8c0f852510fa258c2d4a19a,12/09/2024
56525-86,Company,Yes,0704708a8861ff83fafad42da5f092352e3d5af49238f3899855d3dbfbdf6620,12/09/2024
56555-56,Company,Yes,6bd01c0635e3b8349039180035b619bb48793bda7244245010f2010be9ec06ca,12/09/2024
56558-71,Company,Yes,2fc52e03ab6869d9cae7c1b637d5ac7090331a6f765864611d8823ad049cd479,12/09/2024
56576-80,Company,Yes,3101345337b7848ecadb6e02e2f7afee27de4c19b7a617cc573d748050c80527,12/09/2024
56617-84,Investor,Yes,7a5e8a629d684763781e9651708e42be9bd2d3c712a249a6966d4b38f8ae2c8e,12/09/2024
56617-84,Company,No,529d1447d2f51c9243ea972cc3713c565290d76cb5800e7c16c4977492c10a1e,12/09/2024
56640-07,Company,Yes,654357e0d632a4d6202ccb28ce9393cf541cd45a775f5166eff0e40ae0db8a1e,12/09/2024
56745-82,Company,Yes,71094b37f7cb2788e0b7460cd7f6edf5f5e10726eb553a3519b3227e99dd3672,12/09/2024
56746-09,Company,Yes,5cc2da703a9cf8a3373ece1ef611af2e57c43018118f1e772b350ffa6af65473,12/09/2024
56746-18,Company,Yes,83e4fea737e79427e1c5e9cd37ad0271784bd85517f9c42b0aebc1d85c7383cd,12/09/2024
56747-53,Investor,No,180b8e4867f0c057ecc4aa1b877f151c575d99355ae73a36f6c11d478f96dbaf,12/09/2024
56747-53,Company,Yes,6ff4647fb6a38739b9abed70b7cd997a41da858fd8021f77144f27f65b97530c,12/09/2024
56792-98,Investor,No,0735d9c1b1112fc88899c823a3b7cc95d7d05ec5c95dd256469f564967e7131c,12/09/2024
56792-98,Company,Yes,3c6c79e591dc875bc553948d5b613e805da2be2274cc38ddb2fb7b7ec9ab702d,12/09/2024
56820-70,Company,Yes,2c1f99d0ea626778c19bf717ba0de9a493b6069a0a164d6d16623a63a4baa135,12/09/2024
56840-95,Company,Yes,1eda14dfa030668f0b3eb978c02d2e70ffe899e07f52d3ab439a0f9b13f5c13f,12/09/2024
56847-88,Investor,No,9203a184516199720bd414db13225e1452741e0243bb2d7246f95fc632199754,12/09/2024
56847-88,Company,Yes,eed01df0a99f010d99d6a2200cc31355fd5c4adc97fbfb7bf186e9ce5b705ec7,12/09/2024
56855-80,Company,Yes,571bc5db43070627e94920e98b2a86196a3762192d7af62cc5f16cbaf5c7b9bd,12/09/2024
56897-56,Company,Yes,b3ab2d871688c3e473276eb57e5824484d908b28e68b2e85f09438f5935a1b94,12/09/2024
56911-69,Company,Yes,c424a97b6ba7736286f3b259d8cdc3aa4984a3557850fd90a0633b9427f9f323,12/09/2024
56911-96,Company,Yes,5b9551ea0a92f0c07fb793a01bcae44d706bb7f1b0a7fa031656841187103708,12/09/2024
56940-58,Company,Yes,a56d1a65561e0022c370ba2f9513015a872e6e50152d098e02d448b5ac78842c,12/09/2024
56943-10,Company,Yes,258b62b269de732a524b718b99874f1196e6626a587910301b1df7331498bd9a,12/09/2024
56962-90,Company,Yes,d6d8212ce793994ec1f0649a11793a199a3ee045b62e5814b5ca42c1fb710adc,12/09/2024
56962-99,Company,Yes,e32714075157a1716973ec4a532b79964cfbf44889b9c2ca645164878642d7c0,12/09/2024
57014-38,Company,Yes,cad66e05161898fab3832a54f854f590d798c6214cd20f5b5c80567537c2006f,12/09/2024
57014-47,Company,Yes,3980d54075c8ee90745805c718981799caea746bb9f1dadd9d34b0b473fb56bf,12/09/2024
57017-80,Company,Yes,b71384903111137d37ce61a641622a04ca5512c03cb97fd40db7fbc0432d857f,12/09/2024
57018-07,Company,Yes,783ed5ab5574d819ed67f5905d15b72e34b04e5602b8574f75f97decf797c484,12/09/2024
57018-16,Company,Yes,cf056c808f1e5d8f0f10c482ae3c223ce0bf97224a1f3bcd726dbb4600032214,12/09/2024
57018-52,Company,Yes,8d73ace78872637c53033576f50138449492e8695ea1faefa161a66a50b9002e,12/09/2024
57018-61,Company,Yes,84a3f5c95a3b1ed50215480848dfa85355681898c7df66516513c15e9be3f443,12/09/2024
57018-70,Company,Yes,bac59f15b8ce5d71dd24673ed6b9a501d33abacf65cbf5750b95cbbe29438505,12/09/2024
57018-97,Company,Yes,c9919218b1a38d30d732ae6a50104a587fa6ddc899c8d96c5ef0405b2e34bc8f,12/09/2024
57019-33,Company,Yes,5b0c523e4fa447892c8659417e39c4ed014862bc6160c5fe907656c83ae46a96,12/09/2024
57019-51,Company,Yes,858db6b53a951f19f17bc3ddca2c59aad672a76e968de513ac8a24080a72adf6,12/09/2024
57019-60,Company,Yes,16a0029ee8b570e0215169685adbf43cffcfa4e13f1a87f800b71e761529c451,12/09/2024
57019-78,Company,Yes,545c5ad3944490f2b6f3abc9159fb1d6f5a431c3ad6f00eeb9739a7e3b1ad4da,12/09/2024
57019-87,Company,Yes,62bd77c16a14254f59e09387f44f890140f60bfee8b6a53812310de11add91b5,12/09/2024
57023-47,Company,Yes,f153a19a9d573af41996a46eb9e99ca070b64e05aa5ce8481109574db8691f56,12/09/2024
57023-83,Company,Yes,e03a147c26d34a6fa302f00960fc4462e249aec0530f23af7ed774be91eee221,12/09/2024
57023-92,Company,Yes,068e5b86e0bc79a5301324edf8b889483a3f951556f998fd39f751b956b3d066,12/09/2024
57024-10,Company,Yes,3d74dedfe719b074f9a0aec534b55fa16af99cec88ef33dec54c74c659f90656,12/09/2024
57024-46,Company,Yes,ed6a372ab75dfc9dc965fbf53fea2ac6d7160218b50d8e072d11bad040aee3a3,12/09/2024
57025-45,Company,Yes,f5a50be03c1c96c69a4c9d669ca408a7aa85256ddbc7729a593222edb09baefb,12/09/2024
57025-63,Company,Yes,60705db7eb24a125a86cb716d6a56e05583865388b27000d56827a4a1870828b,12/09/2024
57026-08,Company,Yes,83671e9f12d2e3a156b5671d4f5b98b8935009c7fd5bba4f7f8722a35f006631,12/09/2024
57026-17,Company,Yes,71f2077672790e0da6b5ebc68aab06731e43f384e1154c32bd2425fadf240105,12/09/2024
57026-71,Company,Yes,01d166d4e1e3263894a91e3eecc86c3458c373b3073657849544df1511fe07f6,12/09/2024
