InvestorID,LimitedPartnerID,LimitedPartnerName,LimitedPartnerLocation,Type,CommitmentsTo,LastCommitmentDate,LastCommitedFund,TotalCommitments,RowID,LastUpdated
11193-13,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,2,07/09/2021,Zeal Fund I,67,20390751be0a8ac4de40be3863aa5bfb3f76c7650a461b1f62be34cdca42b47c,12/09/2024
10195-75,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,0c5696abc193d93dcafa160debe803be0f6d5fe15bde7a0d1db67ef458e3b064,12/09/2024
10278-19,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,2,07/09/2021,Zeal Fund I,67,019d2a128967d7f64752a7f1a180ade930da734d79c35393c5d2351b5e700b6e,12/09/2024
11110-06,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,7b335ed168a69b9b4c1913ccdce38dedd61128ebb44cbb3a66a55a95ae41113e,12/09/2024
10096-12,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,3,07/09/2021,Zeal Fund I,67,3ace8553f500f9cc1e2df29cb53028b167e37bd079abff57358f717a36e2bbc9,12/09/2024
11162-08,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,b2944eaeac01aab8ebc831e979534ab6d268a1b142cd6bbd59192fd5648bdd55,12/09/2024
11204-11,53200-09,Mitzi And Warren Eisenberg Family Foundation,"Springfield, NJ",Foundation,3,09/23/2020,Sunrise Capital IV,23,d72fd6bde81c0b8dca5c916d2e610a59ba2dfc9bc1b29fc2dfa4070e7360d9d4,12/09/2024
11296-45,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,7c025607a4734afc813b20f99122db8eb234e70d9a5c28c3c7abea9bc2638620,12/09/2024
11279-08,52616-08,Motorola Solutions Pension Plan,"Schaumburg, IL",Corporate Pension,1,,TT Emerging Markets Opportunities Fund II,5,8336715db6e26bd61b03f724f3f9717f4e78cb4b668fc68f4466903c79f3ac16,12/09/2024
11318-86,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,ffd3ac43792f1f0146a1eb96a5040fe0dfdb58bd7d61dbe74438c835ff39bae6,12/09/2024
10150-21,60300-55,MGA Property & Casualty Insurance Agency,"Lakewood Ranch, FL",Insurance Company,1,05/16/2013,CapitalSpring Direct Lending Partners,2,955f365ecc82d2592e3f78641a0062b42a7809ec04ad859494dcf8265078bd4b,12/09/2024
11320-66,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,794f4fa02c7780b72a678e54c01bf695b3f7133eb90610014ccad9dd5f3fb603,12/09/2024
11251-81,11561-32,Danske Private Equity,"Copenhagen, Denmark",Fund of Funds,1,12/09/2014,Prospect Venture Partners III,41,9102451e70c9feb2682870917f6e6d9d4efea34b74f638ca204c9acb5c7bbc71,12/09/2024
11323-45,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,dd3fc54103a4b593e7436f0ef6e1e51ec015d46cd6d3a2a9bf53d0fc434b774a,12/09/2024
231918-76,53204-68,Edward & Sandra Meyer Foundation,"New York, NY",Foundation,1,12/31/2022,Tiger Global PIP XV Private Investors,42,6a21ae7a261ea0f9f189d09c7df75f65b9b4387d56c5abca6f93a722b46b4ba0,12/09/2024
11326-33,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,693b4bc37a62f2c676da8dcf418ce313cecf5f8dbb4986298f766ade83196226,12/09/2024
84034-54,53204-68,Edward & Sandra Meyer Foundation,"New York, NY",Foundation,1,12/31/2022,Tiger Global PIP XV Private Investors,42,808e4e269f0b59252082c64772650e40f10b605b43a476f69bd4ef0abd55f39f,12/09/2024
11333-26,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,61322d97ea860d903e22c483b375197c5a87b8989323af0596d0eba46f3fdb38,12/09/2024
55270-63,53204-68,Edward & Sandra Meyer Foundation,"New York, NY",Foundation,1,12/31/2022,Tiger Global PIP XV Private Investors,42,0eeace2dd2118dac8d276c99dd7375e09f25221a3768e8d92bb337f373d70b82,12/09/2024
43058-08,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,2175864a8c4e30e1dfb5b8070ed97b249aec06e1a8315852f1a4bcf3f9bc416d,12/09/2024
51748-75,53204-68,Edward & Sandra Meyer Foundation,"New York, NY",Foundation,3,12/31/2022,Tiger Global PIP XV Private Investors,42,d4e0936119d563e0580c66ba20d02fd05112d12993beb7fa686849a564cdf820,12/09/2024
54613-90,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,888e7395a9ce2e748ea404a7e7c2a75dd1c379a8889d2ca6c7e34b1284906eba,12/09/2024
42236-74,53204-68,Edward & Sandra Meyer Foundation,"New York, NY",Foundation,1,12/31/2022,Tiger Global PIP XV Private Investors,42,bd4043480122db34420dd3528ec127adaf02a9b2fb0795163b411c01e2ac0ee6,12/09/2024
110331-10,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,c1016295025e1c828c6414940be723b314cbb83aae57b48fb962f682e99d9c03,12/09/2024
11204-11,167557-06,ITW Defined Benefit Plans' Investment Account,"Glenview, IL",Corporate Pension,3,12/31/2008,Adams Street Partnership Fund 2008 US,23,0f13d15a6b32abab9b3dfb451e8fbc70333294ea686b94721b3b5c8ea7151589,12/09/2024
167492-08,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,9e97aaf939e19e8d5e7d334eae3f402fe0fdc9f1b3c5149b560b1d98fdfc7714,12/09/2024
11204-11,52031-98,California State Fullerton Philanthropic Foundation,"Fullerton, CA",Endowment,8,09/20/2023,Goldman Sachs Vintage Fund IX,14,1cf4a6515ba614d0ef6190ed313122d4a33ce5b628774d260472679b9ebccf20,12/09/2024
10759-78,170167-51,Chengdong Investment Corporation,"Beijing, China",Sovereign Wealth Fund,1,07/27/2017,RREEF Pan-European Infrastructure Fund II,8,6e1dbf974c9a454b382b5dfba92f3be5d509720228189d95079c23c44f13a2fc,12/09/2024
10331-11,52031-98,California State Fullerton Philanthropic Foundation,"Fullerton, CA",Endowment,1,09/20/2023,Goldman Sachs Vintage Fund IX,14,cda68a74cc2caeabfb3e5f3dfc71fb91f2fae3e594c2697fe25d3f7250ac792d,12/09/2024
24760-63,58576-60,CAP Prévoyance,"Geneva, Switzerland",Public Pension Fund,1,06/29/2017,iCON Infrastructure Partners IV,4,e45f2b58e4c7774622712886080f1369b5f7c04b16ab9baaab557528070643a0,12/09/2024
162587-08,63845-11,MAIF,"Niort, France",Insurance Company,1,02/09/2023,The Blue Ocean Fund,5,ea06dc8c86ae35387ce3f4da9bdc77f075dddb35722c10c3f8eb5d20bdb2a241,12/09/2024
11341-90,58698-10,Fondazione CRT,"Turin, Italy",Foundation,1,10/15/2007,Innogest Capital I,1,2e8d8c6bfbd940e6b2ffb52f5e8743986494894f2891185115259f1ba6b8d37e,12/09/2024
230952-52,59608-63,Mabuchi Motor,"Chiba, Japan",Corporation,1,05/07/2019,Chiba Dojo Drone Fund II,1,788b93534415c793d5bd88a6293833a133b386d3434c8b2e8a415c925e81ff49,12/09/2024
10014-49,121162-42,Generali Deutschland Lebensversicherung,"Munich, Germany",Insurance Company,1,11/04/2008,Blackstone Real Estate Partners Europe III,3,ed26b52100d83a434579846a233aa41a349bffab8737714c6fea7a25bb7b1268,12/09/2024
233706-61,52135-93,Top Tier Capital Partners,"San Francisco, CA",Fund of Funds,1,06/03/2024,Creandum VII,12,66b3b6dd84507cfe769952ce527112fdf71a4d225e213130c3dbbe7966f05aec,12/09/2024
10739-17,121162-42,Generali Deutschland Lebensversicherung,"Munich, Germany",Insurance Company,1,11/04/2008,Blackstone Real Estate Partners Europe III,3,881696b016b034096aab7a81ab20ce501bcdf8fb584988e533751517708a0525,12/09/2024
61972-57,52135-93,Top Tier Capital Partners,"San Francisco, CA",Fund of Funds,1,06/03/2024,Creandum VII,12,a9f7e76a8af33ca18ca548c0801ced63e6ae6b3a2160ea4b8236ba70a46c1692,12/09/2024
56091-70,53238-52,The Elizabeth Morse Charitable Trust,"Chicago, IL",Foundation,2,12/31/2013,LC Asia 2 Private Investors,13,57952815595e894d076769e6e7734b1ef88e32e5e434ab747981fd6d3d39dcb8,12/09/2024
52695-82,53174-80,The Fan Fox and Leslie R. Samuels Foundation,"New York, NY",Foundation,3,12/31/2020,Poplar Point Capital Partners,58,74e913d4887c4acabbad19b919ed5431ab9345e498cf9bb27e3cd7307ee20b4f,12/09/2024
43074-37,14184-28,Ever-Glory International Group,"Nanjing, China",Corporation,1,12/01/2011,Enfoca Discovery 1,2,d240d01529e48c59a16862716e241e063fc2c332e16841325342461ba5dc96c6,12/09/2024
11228-50,53196-04,Benificus Foundation,"San Carlos, CA",Foundation,2,05/17/2012,Kleiner Perkins Caufield & Byers XV,3,238ef3b203e2449009a7fa8905745008d362c93c10805d5b762aea75dbbe6d2f,12/09/2024
10074-61,65267-56,Retirement Plan for Employees of Greenwich Hospital,"Greenwich, CT",Corporate Pension,1,04/11/2014,Deerfield Private Design Fund III,16,50ec077f00e15802b4c24a997cf35bb6c57a3f24a0d12a6f390881d992c49dad,12/09/2024
110584-18,11568-34,Fonds de Réserve pour les Retraites,"Paris, France",Public Pension Fund,1,01/25/2024,Euromezzanine 10,46,320c284340f1b2b74fc848596fe77432d2c5683f932c430e46fd610eea8549ae,12/09/2024
10234-81,65267-56,Retirement Plan for Employees of Greenwich Hospital,"Greenwich, CT",Corporate Pension,1,04/11/2014,Deerfield Private Design Fund III,16,c5ec906c64e42ee1f7840f20196febefbb36c824b3614c79373bfcfc34dd4cd3,12/09/2024
11268-55,11568-34,Fonds de Réserve pour les Retraites,"Paris, France",Public Pension Fund,1,01/25/2024,Euromezzanine 10,46,db710b02ff6d381f226c0d6c26f4294f3bbeee8a4c697053b65b4462e6626cdd,12/09/2024
60374-26,65267-56,Retirement Plan for Employees of Greenwich Hospital,"Greenwich, CT",Corporate Pension,1,04/11/2014,Deerfield Private Design Fund III,16,51ee4acda69b50c54792d3e171ab889842aadc705bccea68f4606e4856fe0f8f,12/09/2024
51971-95,63016-57,Retirement Plan for Employees of Darr Equipment Company,"Haltom, TX",Corporate Pension,1,03/15/2018,NB Select Opportunities Fund,10,6a5eb0616952df9d355c7d050ec989178792a2ad2ed6b480c5654452353cd6ac,12/09/2024
10759-78,58545-82,Arab Fund for Economic & Social Development,"Kuwait City, Kuwait",Economic Development Agency,1,07/03/2015,IFC Middle East and North Africa Fund,2,c72641192fa07339bebe102cf2bc1d0792794ac3df20199350237144e19e10bd,12/09/2024
182433-16,93617-56,Sharp Electronics,"Montvale, NJ",Corporation,1,05/10/2018,SoftBank Vision Fund,1,a1891e0c6b356316f9b7c97116262e6f1c0ac9697748a8bd335ab87fec4f9e9b,12/09/2024
10768-06,62966-71,Carpenter Co. Profit-Sharing Plan,"Richmond, VA",Corporate Pension,1,10/05/2021,GEMS Fund 4,34,de13eb1e587fb7dab33fbb916f743878c7a77b7053a55959119d3fe8f8804046,12/09/2024
40692-61,93617-56,Sharp Electronics,"Montvale, NJ",Corporation,1,05/10/2018,SoftBank Vision Fund,1,d28bcdb845b82c487814e6510f569257ee9a0b47652a1aeab6dd2dbea6fea14e,12/09/2024
11185-21,62966-71,Carpenter Co. Profit-Sharing Plan,"Richmond, VA",Corporate Pension,3,10/05/2021,GEMS Fund 4,34,3c77f917d1c460bbefad452eb1381b73c05fbcf14f921242eaf84fde3ce4808b,12/09/2024
163642-87,53158-96,Maclellan Foundation,"Chattanooga, TN",Foundation,2,06/24/2021,Dynamo Fund II,71,a89c608825b0179d306170cb6e3267f8fb030216bd724a0f04cd7fa224fbdf0e,12/09/2024
11335-42,62966-71,Carpenter Co. Profit-Sharing Plan,"Richmond, VA",Corporate Pension,3,10/05/2021,GEMS Fund 4,34,0fd4d950024f57d7b91d62b2c6d13a864e8f55e6436e8e3e992efe719275d5df,12/09/2024
64182-25,53158-96,Maclellan Foundation,"Chattanooga, TN",Foundation,1,06/24/2021,Dynamo Fund II,71,a671aa5ab6d8492e32059a1855bfa5d47fbfb2bff0794c6ee45911fa6edd3710,12/09/2024
41009-68,62966-71,Carpenter Co. Profit-Sharing Plan,"Richmond, VA",Corporate Pension,1,10/05/2021,GEMS Fund 4,34,6e5cc32d57310cd6c9d1951d65ee1725d64bfefe45217f501c77f32258dc345f,12/09/2024
55296-28,53158-96,Maclellan Foundation,"Chattanooga, TN",Foundation,1,06/24/2021,Dynamo Fund II,71,2eed5371ffc0e1d903e6cbb88fd9df853e1774ec560553ca3c06e88ae67b3e1a,12/09/2024
10015-12,11575-00,Howard Hughes Medical Institute,"Chevy Chase, MD",Foundation,1,01/15/2016,Investindustrial VI,37,dc0fee203fe8717b5f99a9be9bb396117dcea3ddf66a1147f589e6e22375c1d4,12/09/2024
11204-11,53158-96,Maclellan Foundation,"Chattanooga, TN",Foundation,5,06/24/2021,Dynamo Fund II,71,574f4a1b48980a06674713135f0226286c7b0084bc41aec7f593afad5fff59a8,12/09/2024
11318-77,11575-00,Howard Hughes Medical Institute,"Chevy Chase, MD",Foundation,1,01/15/2016,Investindustrial VI,37,f84c9bc1c6cd5f5aeb0ef6dd851f8242c8ad557c0489c07c7f1b8a7c31a0cbaa,12/09/2024
97548-85,53159-05,The Grantham Foundation,"Boston, MA",Foundation,1,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,f135745859b8c9a9e9f23fda46b924851a31e12f2119ecbaa6754f05c216751d,12/09/2024
11326-33,11575-00,Howard Hughes Medical Institute,"Chevy Chase, MD",Foundation,1,01/15/2016,Investindustrial VI,37,df8d68dcd2fb88aa5e10303493c01a00d4942768a4116d52bbb4f016cf0b6de2,12/09/2024
59162-14,53159-05,The Grantham Foundation,"Boston, MA",Foundation,1,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,82a15b6752cc336cb3998bddf6b4c06f3270fa5f9b4201ed572cad7aa28492c6,12/09/2024
10071-01,65267-11,Painters and Allied Trades District Council No. 35 Pension Fund,"Roslindale, MA",Union Pension Fund,1,05/31/2023,Ironsides Partnership Fund VI,29,e1efa174772bcbca4c577c94978686b84ab2440629fe1a7f8efd00ef9afd7592,12/09/2024
51755-50,53159-05,The Grantham Foundation,"Boston, MA",Foundation,,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,007d1dca28d7ec36177e75cb5d0c7f64b18e9b065d06d9b102bcd888e0edb005,12/09/2024
11185-21,65267-11,Painters and Allied Trades District Council No. 35 Pension Fund,"Roslindale, MA",Union Pension Fund,2,05/31/2023,Ironsides Partnership Fund VI,29,e480c705ad5ada7620a61309d9c93a00dc51206b73b89e7c5e1e5b4d8246b1e9,12/09/2024
51625-90,53159-05,The Grantham Foundation,"Boston, MA",Foundation,6,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,a79817cccbc05c1a9c75d92fca275e035578b7f052595728e867b15c9311828c,12/09/2024
10014-49,11564-56,Eagle Star Insurance Company,"London, United Kingdom",Insurance Company,,07/16/2004,Gresham III,3,4f717eaa924dc591422838af9dad763a43b3bea5255ff4bafd5731187b8fbc98,12/09/2024
51189-94,53159-05,The Grantham Foundation,"Boston, MA",Foundation,4,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,be2cdfa539b751558f56ea5fbcaa5ce52bde948a22f1241f109f73e88553841b,12/09/2024
11185-21,471875-41,International Painters and Allied Trades Industry Pension Plan,"Hanover, MD",Union Pension Fund,1,09/14/2016,WCP Special Core Plus Fund,23,12463222dae8d5152ea4a1a9dd8b1c89f94b9444397b9cd297f9cf0e0371184e,12/09/2024
11581-75,53159-05,The Grantham Foundation,"Boston, MA",Foundation,1,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,b47c99cd645ebca470c517c50855b5ad4f7042c6a26b55d9299a132120c2cdf3,12/09/2024
10014-49,41070-70,Mellon Financial,"Pittsburgh, PA",Banking Institution,1,06/22/2007,Blackstone Real Estate Partners International II,4,00cc62a3e1c53a304a267d3300cfc10057b081450eb852bde85d4506885a5f22,12/09/2024
11270-53,53159-05,The Grantham Foundation,"Boston, MA",Foundation,4,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,387cc380930396eed0bba7d6b12b71bfee9bcf01dbe9c3096ab12369e66973e7,12/09/2024
11185-21,490748-59,CHI Growth Pool,"Englewood, CO",Corporate Pension,1,12/13/2012,Commonfund Capital Partners V,30,4d90be10d3999b23c38661c532c31370c3d7ec9d904d97c0a5de7ecce199a713,12/09/2024
11229-04,53159-05,The Grantham Foundation,"Boston, MA",Foundation,4,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,07b0ee4f65b4eb1d43bf73495d869359c3e8cc3af7cba5669eedc720d817923e,12/09/2024
10014-49,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,3,01/01/2022,Key Capital Partners VI,318,0b76ed950af0cdb4c569b477241d0e1fe48bd67a1693f5c2294f519af912259a,12/09/2024
11193-13,53159-05,The Grantham Foundation,"Boston, MA",Foundation,1,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,4f5597408bd707b315a66264370155f34a283576a3edb47f25bec2c2c4f05061,12/09/2024
10015-12,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,1,01/01/2022,Key Capital Partners VI,318,978c8a5584614aa28cfa1c4bad1a1efa0cb92b95d5d2ae1751764817c4cba00d,12/09/2024
11191-87,53159-05,The Grantham Foundation,"Boston, MA",Foundation,2,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,1e3c88b0f8124e53d55993618d11a515ff83884deca842146e3dc0924fa7ad22,12/09/2024
10052-11,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,3,01/01/2022,Key Capital Partners VI,318,c2329b256a153e92fc9697f4de2ffce5e8002b006252a13a08f4cc1fa23ebf0b,12/09/2024
10278-19,53159-05,The Grantham Foundation,"Boston, MA",Foundation,2,06/27/2024,Blackhorn Ventures Industrial Impact Fund II,138,24dbd0ef359a6ebb294b39878dd39dbe278d661fc0c9d292ae57791fd8170a2c,12/09/2024
10071-01,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,2,01/01/2022,Key Capital Partners VI,318,1755162024bd14a625f4ff49aea79492f5bdebd35edd57199bd99ff424a24df7,12/09/2024
11204-11,53168-95,Connelly Foundation,"West Conshohocken, PA",Foundation,2,12/31/2020,Equus Investment Partnership XI,15,c2008d0d4a6216df5a2089aa4dd1385516e579816193ccfe66cf50e2dc27baeb,12/09/2024
10195-75,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,2,01/01/2022,Key Capital Partners VI,318,c37c1a9108e34edc05b898bde1e83dd56e190c16f5bd9206b2d17daf047a4af4,12/09/2024
52695-82,53183-35,The Cameron Foundation,"Petersburg, VA",Foundation,2,03/13/2024,Origami,14,c4b7a888e5a73f5a26137ae070f9d5c3c93ed605dcc2ee035cd1ca36cc3b3186,12/09/2024
10768-06,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,2,01/01/2022,Key Capital Partners VI,318,c9cec1089ce78d5fbae8a4c9a38eb5506d409c07e4fb68d8ea31b7b543c97a34,12/09/2024
52695-82,52607-44,Lucent Technologies Pension Plan,"Murray Hil, NJ",Corporate Pension,,,,,95c2fd6feb498d971d75d0c188d0bb2c1a7d89360384afaa5918915cc408b42d,12/09/2024
10791-37,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,6,01/01/2022,Key Capital Partners VI,318,6947e93277fd0a02d53379a734b64220875ac28251123746d4e41a294dae8e2d,12/09/2024
42202-18,52607-44,Lucent Technologies Pension Plan,"Murray Hil, NJ",Corporate Pension,,,,,533a23fc5392adf48452f10b52eda480eb8b1b0d9e93c483f92749e8f54fd7f5,12/09/2024
11165-50,11619-73,West Midlands Pension Fund,"Wolverhampton, United Kingdom",Public Pension Fund,1,01/01/2022,Key Capital Partners VI,318,0c7d16d5628309ee558c7631488d8736852252778a359f8b2f7ac563898ceb67,12/09/2024
11281-06,52607-44,Lucent Technologies Pension Plan,"Murray Hil, NJ",Corporate Pension,,,,,807fd8f88c3362e34eb42db2a2d9e4352f68e9abeda87bb575e900ea0aa462f5,12/09/2024
