FundID,LimitedPartnerID,LimitedPartnerName,LimitedPartnerType,CommitmentStatus,Commitment,CommitmentDate,CommitmentType,Comments,RowID,LastUpdated
12572-20F,10495-63,Banco Espírito Santo,Banking Institution,Current,21.78,12/01/2013,Original,,0f150f6c22d743eaa9e3a0e237558495dd9ef663836d42a41bb076e46803edff,12/09/2024
12415-33F,10545-85,BMO Private Equity Trust,Fund of Funds,Former,,01/01/1999,Original,,281b8b5b7d36c101e40a963055d9d4d2ae41c9c6139f31f993b6a5c60e34e350,12/09/2024
15713-29F,10549-27,Argentum Fondsinvesteringer,Fund of Funds,Current,22.71,05/09/2016,Original,,ae626e737f96f87ce1320156db863785f21fc7cf688ad3341b11fe41bd74578c,12/09/2024
11032-12F,10568-62,DeA Capital,Fund of Funds,Current,20.00,01/01/2001,Original,,02cd953fc6e604fa75af847405086774a1a0ef963ff5b45a46ded412f7fc1b93,12/10/2024
11190-16F,10574-74,Baxter International,Corporation,Current,2.00,12/31/2001,Original,,244245fb51485a25525eed4159c099d7dac219a54d9c1e56b80464b04256d984,12/09/2024
12702-34F,10583-11,British International Investment,Fund of Funds,Current,25.00,06/13/2014,Original,,93284dc315102f4fa84943aa91f6c6f03406ce9aa0f4b8e0624684a6dfa51194,12/09/2024
15424-39F,10604-17,Lenovo,Corporation,Current,,07/01/2016,Original,,a5311ef3cbdbbdb8558d6b39a7e70ee6c998120fdf770e63d670c3892beac6b7,12/09/2024
12702-34F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,5.00,07/24/2013,Original,,e02d11db84cbc13793b66952dba1c9ca99d9da8c2ffb3a90d5d7f1a756149bc2,12/09/2024
12975-85F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,3.10,03/25/2010,Original,,7b18af391e3cd1321ee736bdc60c37a5116283cbf7702440249e2dc9fba9a7fd,12/09/2024
13097-35F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,15.00,11/12/1996,Original,,c5f5cae90dd0952656a3fbedf561a1b0f2b46ac3bb50dcc6ae37666219c6084a,12/09/2024
13102-84F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,4.00,06/15/2011,Original,,b3074d91c44d134da748d9a9d95cd987e2a416c1029a9ac3f2be549a0075d41b,12/09/2024
13346-92F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,5.00,10/06/2011,Original,,e26ad666613e51ce580335c770d25a9c21eb88552057309eea70e3981cdbeb28,12/09/2024
13592-35F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,5.00,09/10/2012,Original,,2a7d231e82d898259ee95e9a2d5cd4338e0ef495e2c9948cd0edab3f243058df,12/09/2024
13826-08F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,5.00,03/24/2014,Original,,3fd5b9a9e73299ca39c2d372c39916610deefa78491c99cd9aa8ee10a04ee1bc,12/09/2024
14203-00F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,10.00,05/19/2014,Original,,86791a8890308479f3924767239ef73389e8d2798900f4bb096da36e2d6680b2,12/14/2024
14574-88F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,20.00,12/01/2014,Original,,5a593a39cfc238e16f9ba1a8a848a07f49f0b7fb5d6dfa7a0183c38939fbb247,12/09/2024
14935-51F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,15.00,03/20/2015,Original,,5e2621c1ccbf85082606d772f2e2ea16cc72c361edf79c722eb2ec684280f13d,12/09/2024
15118-57F,10665-73,Metropolitan Life Insurance Company,Insurance Company,Current,15.00,05/06/2015,Original,,97f01f7310a2ef2fd69e26321058a1e9d0ba42b2a01f8caeeb4bb0333e469a23,12/14/2024
15756-94F,10685-53,Mercedes-Benz Group,Corporation,Current,,05/10/2018,Original,,abb550cb2463d024a13b2771b5826eb85245f8989a1e7acfe534d8debefcfa22,12/09/2024
12415-33F,10720-36,Pacific Corporate Group,Direct Investment,Current,5.00,01/01/1999,Original,,11ebf47298656bfc7b49eefb438c4191d3901bedf84751f1883ca07d74ade5aa,12/09/2024
17045-29F,10727-11,PayPal Holdings,Corporation,Current,,06/09/2021,Original,,27c11889ba1a8989d2b829ce282f32969aba0c1016b2a42696b66ee66a80f8b1,12/09/2024
11643-31F,10748-26,Foundry (Market Intelligence),Corporation,Current,,03/17/2008,Original,,bcb68b872d25e5fe55051ff0cbab79d1e659d18445f14b072e779639dac967be,12/09/2024
16296-40F,10748-26,Foundry (Market Intelligence),Corporation,Current,,11/07/2018,Original,,838f3173dd5e8fc4f3f0ba80fb1c08f798c09066c751c1f1395a61e5fbca8f86,12/09/2024
20099-80F,10756-18,Pantheon International,Fund of Funds,Current,8.69,11/20/2021,Original,,852800d5224b36cfb4724483f09c389683816b1a97f5b6fdbc11e28d2471063e,12/09/2024
11644-30F,10759-78,International Finance Corporation,Economic Development Agency,Current,10.00,06/22/2010,Original,,a7507248ac35a37247ef799cdc25c437fc01f36519c2e1c7aa5bd5c185408026,12/09/2024
12742-12F,10759-78,International Finance Corporation,Economic Development Agency,Current,,08/17/2012,Original,,41baa63bd2c67318396759f56643f2bdad538b725c41852b5d1f37040b8810e0,12/09/2024
13189-51F,10759-78,International Finance Corporation,Economic Development Agency,Current,,12/31/2001,Original,,e184ff14427f9b3ff0f4becfe0c18edf4a3fdbd534d0c168708e69867301b057,12/09/2024
13534-12F,10759-78,International Finance Corporation,Economic Development Agency,Current,8.50,07/16/2012,Original,,5126978690976e54f2e8254f42fd2eacbb15b8b2bf38543230549ab2514b1788,12/09/2024
13874-59F,10759-78,International Finance Corporation,Economic Development Agency,Current,,12/31/2011,Original,,3e03d6b13fa885a2e8263a16c295d0251c416befc74506a2826a8550ef1c2599,12/09/2024
13877-11F,10759-78,International Finance Corporation,Economic Development Agency,Current,10.00,11/04/2013,Original,,ec237e135241cb811412059115af5300047c0d7cbbcbccaa2a191cc133278016,12/09/2024
13878-55F,10759-78,International Finance Corporation,Economic Development Agency,Current,,12/31/2012,Original,,377b6a1a8ad971043865797ea6203be0b2fad56ab74f4dce51369480d42293a9,12/09/2024
14323-15F,10759-78,International Finance Corporation,Economic Development Agency,Current,16.90,09/30/2008,Original,,50be53405b55d542b89f56241d959bb22c3c32e3d64cd4f2c37fcfd66f25557f,12/09/2024
14423-41F,10759-78,International Finance Corporation,Economic Development Agency,Current,20.00,02/01/2013,Original,,2fe707acac51b2f608564a2d15418f25fc4220fc7b578d776266e3a2110a4514,12/09/2024
14661-37F,10759-78,International Finance Corporation,Economic Development Agency,Current,,06/01/2015,Original,,bb0dac29afb5a27e2e5ecc9686f7891a90c99b2009a7d7fd0c8c1572e8287054,12/09/2024
15173-65F,10759-78,International Finance Corporation,Economic Development Agency,Current,,12/31/2017,Original,,0f163d4489f9021c748bdc1ab0cd93972fc4a2dd81544c8c2c9c453120afc2b3,12/09/2024
15273-82F,10759-78,International Finance Corporation,Economic Development Agency,Current,15.00,09/30/2015,Original,,cfd347d438e6646f0ea6cf778759fd8cd6f83a1995d6249d274931e51032d3af,12/09/2024
15311-26F,10759-78,International Finance Corporation,Economic Development Agency,Current,1.00,10/19/2015,Original,,803727346d6414854f9e6170ea0eef6e0b2f2ffee8c0518fb5e8bd6c51bc03e1,12/09/2024
15381-19F,10759-78,International Finance Corporation,Economic Development Agency,Current,3.00,12/16/2016,Original,,8444b29eb7798187248fb1a50c0cccb7a779971d78fdee53b4b8afc98dce0485,12/09/2024
15479-38F,10759-78,International Finance Corporation,Economic Development Agency,Current,,08/18/2022,Original,,e3f3d06bb2185b1f41262b83406a5cf5a08a0a4a802a5c0467febb2e2f56f671,12/09/2024
15669-82F,10759-78,International Finance Corporation,Economic Development Agency,Current,,05/09/2017,Original,,49589fb4a9c359a26d94321f684e5001108ad43e09b3d0a4ff1f55a5f0a1dd1b,12/09/2024
15681-79F,10759-78,International Finance Corporation,Economic Development Agency,Current,,02/12/2018,Original,,5216e22947f813452d9768929ab828d710d1ddf06a8bb3ef7538beb76ebbe7fe,12/09/2024
16372-00F,10759-78,International Finance Corporation,Economic Development Agency,Current,,12/31/2018,Original,,328e45b519168d2a1033ddc5b5853dd913fcac90a077e0950e93941614417f10,12/09/2024
16756-39F,10759-78,International Finance Corporation,Economic Development Agency,Current,26.00,05/21/2020,Original,,1ec8e2062e6e95b2c234672393739da170dcfda760a432a8341335bd3926c90f,12/09/2024
17179-03F,10759-78,International Finance Corporation,Economic Development Agency,Current,12.00,03/04/2020,Original,,75dd76b4c325d60197c7f5f55728b76d776c11c5bdc2f0265a3398fa87806042,12/09/2024
18952-21F,10759-78,International Finance Corporation,Economic Development Agency,Current,15.00,06/02/2022,Original,,085dcfcba4a7508204c6810ad61e2eaf5dd462566bc7f39b8b5512d2a51120c1,12/09/2024
19149-49F,10759-78,International Finance Corporation,Economic Development Agency,Current,,11/08/2022,Original,,19084d8516a24367af3ccc8daa9a082ac416f54813c3e6409e03f416438708d3,12/09/2024
21333-43F,10759-78,International Finance Corporation,Economic Development Agency,Current,,,Original,,c40dd6f44526941431a01c5101a50b2c1c9760804c52bd5449de226e2924348d,12/09/2024
11190-16F,10772-83,Princess Private Equity Holding,Fund of Funds,Former,10.00,12/31/2001,Original,,5839a3b155c09ef7ee44de63edda4e8d29b48f6980b147b64d73e46a3e4a8d9b,12/09/2024
11074-51F,10783-27,LGT Capital Partners,Fund of Funds,Current,,06/25/2001,Original,,187e76ab8792184adf969013f2949e72335414a59dbe11d99c0322da4b671cb3,12/09/2024
19064-80F,10783-27,LGT Capital Partners,Fund of Funds,Current,,07/08/2021,Original,,190c3bf3729acbb3a5f8d21fb91bffef2e59782a340e6a5b7c6082dbce150198,12/09/2024
20795-59F,10783-27,LGT Capital Partners,Fund of Funds,Current,,10/15/2021,Original,,077f7415c1d5af8c543ccf806bf35de1956ce7e7029bf4ab38c72b15b9aed084,12/09/2024
20896-30F,10783-27,LGT Capital Partners,Fund of Funds,Current,,02/16/2022,Original,,c91a253dc0d88f388d202656a629a06669c0ab2f10c617e0dad0c0b2b23c8c85,12/09/2024
11010-43F,10817-65,DirecTV,Corporation,Current,,12/31/2000,Original,,97ada53715e8c7eeaa0dcdba7b73c116b162ba64541a1e914de31a11458fda2a,12/09/2024
11032-12F,10828-63,Fort Washington Capital Partners,Fund of Funds,Current,6.00,01/01/2001,Original,,779c0ffac42a20b0f59c24ecdceeecebdad36f1c01f99144d6712e4d45156b3a,12/10/2024
11144-89F,10828-63,Fort Washington Capital Partners,Fund of Funds,Current,2.00,01/01/2000,Original,,f64daaf1e2aea75882d3593ddf9da7661c5b9bdacf8d64e3368fdb59e5d9f545,12/09/2024
17722-00F,10831-96,Phoenix Group Holdings,Insurance Company,Current,,09/30/2023,Original,,12966f0c1d21d4bec8ac155f38546b96499924686d70b3b587dfaf9e71901836,12/09/2024
